GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW
39001001AAA,39,001,001AAA,607.26,118.39,6.01,2
39001001AAB,39,001,001AAB,442,90,4,4
39001001AAD,39,001,001AAD,457.74,79.61,2.99,1
39001001AAE,39,001,001AAE,229.86,53.97,2,0
39001001AAG,39,001,001AAG,266,60,1,0
39001001AAI,39,001,001AAI,787,171,8,3
39001001AAK,39,001,001AAK,476.94,149.08,7.91,0.99
39001001AAN,39,001,001AAN,743.17,119.71,3.99,0.98
39001001AAP,39,001,001AAP,521.82,145.39,5.97,1.99
39001001AAR,39,001,001AAR,235.86,60.85,3.02,1.01
39001001AAS,39,001,001AAS,401.5,93.58,5.09,0.06
39001001AAT,39,001,001AAT,544.55,90.35,1.08,0.99
39001001AAU,39,001,001AAU,297.22,59.97,0.88,0
39001001AAW,39,001,001AAW,681.35,150.1,4.06,1
39001001AAY,39,001,001AAY,444.66,111.16,4.96,2.98
39001001AAZ,39,001,001AAZ,456.56,102.63,7.04,2.02
39001001ABA,39,001,001ABA,417,130,10,2
39001001ABC,39,001,001ABC,401.44,143.37,3.96,1.98
39001001ABE,39,001,001ABE,578.09,75.83,6.03,0
39001001ABG,39,001,001ABG,512.38,97.22,3.89,0.97
39001001ABH,39,001,001ABH,367.62,53.78,0.11,0.03
39003002AAA,39,003,002AAA,421.26,128.47,12.95,0
39003002AAC,39,003,002AAC,399.95,118.27,4.96,1.02
39003002AAE,39,003,002AAE,401.37,135.28,8.02,1.01
39003002AAG,39,003,002AAG,180,47,10,0
39003002AAH,39,003,002AAH,269.25,213.27,6.37,0.9
39003002AAJ,39,003,002AAJ,356.66,203.39,7.86,0.98
39003002AAK,39,003,002AAK,195,176,10,7
39003002AAO,39,003,002AAO,392.25,312.57,11.74,1.11
39003002AAP,39,003,002AAP,362.57,249.83,7.22,0.9
39003002AAQ,39,003,002AAQ,376.95,282.53,15.01,2.01
39003002AAW,39,003,002AAW,168,229,10,4
39003002AAX,39,003,002AAX,146,199,3,2
39003002AAY,39,003,002AAY,274.13,193.58,3.08,3
39003002ABE,39,003,002ABE,407,275,18,3
39003002ABF,39,003,002ABF,199,267,7,0
39003002ABH,39,003,002ABH,294.86,201.46,1.85,0
39003002ABI,39,003,002ABI,376,332,11,4
39003002ABP,39,003,002ABP,105,137,3,0
39003002ABQ,39,003,002ABQ,66.13,175.72,1.01,3
39003002ABR,39,003,002ABR,52.65,285.05,4.01,0
39003002ABT,39,003,002ABT,201.8,229.67,8.23,3.03
39003002ABW,39,003,002ABW,206.81,264.14,7.96,0.99
39003002ABX,39,003,002ABX,150,247,6,4
39003002ABZ,39,003,002ABZ,49.38,381.53,2.97,0.99
39003002ACD,39,003,002ACD,435.3,321.58,6.11,3.06
39003002ACE,39,003,002ACE,322.64,246.13,8.3,3.69
39003002ACG,39,003,002ACG,411.01,280.96,8.94,1.99
39003002ACT,39,003,002ACT,716,125,6,1
39003002ACU,39,003,002ACU,342,70,1,2
39003002ACW,39,003,002ACW,499.55,117.89,6.99,1
