GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREAFUE,G16PREOWRI
44001440101,44,001,440101,985.3,499.8,58,21.9,1.9,35.2
44001440102,44,001,440102,1364.4,695.3,71.1,21.3,3,40.2
44001440103,44,001,440103,1108.9,458.1,58.1,16.4,0,47.4
44001440104,44,001,440104,1228.4,564.6,74.2,22.9,1.8,55.8
44001440105,44,001,440105,1349.2,616.2,73.8,24.9,4.1,62.1
44001440201,44,001,440201,497.6,468.7,42.4,11.6,1.9,24.1
44001440202,44,001,440202,373.3,184.7,37.7,9.7,1,17.4
44001440203,44,001,440203,1199.1,833.7,83,26,0,53
44001440204,44,001,440204,814.5,529.1,42.7,17.4,1.1,28.7
44001440205,44,001,440205,814.5,735.2,80.3,18.6,2.9,34.3
44001440206,44,001,440206,723,493,40,15,3,26
44001440207,44,001,440207,568.7,305.3,42.3,11.3,1,19.6
44001440208,44,001,440208,643,411,48,18,1,30
44001440209,44,001,440209,134,103,12,6,1,5
44001443401,44,001,443401,664.2,449.2,43,24,3,35
44001443402,44,001,443402,848.6,795.5,62,18,4,40
44001443403,44,001,443403,1198.7,762.6,72.6,32.4,3.1,47.9
44003440601,44,003,440601,380.3,546.6,46,7.1,4,12.1
44003440602,44,003,440602,102.2,113.4,18,3.4,1.7,8.6
44003440603,44,003,440603,768.3,1040.6,74.7,24.6,4.8,46.5
44003440604,44,003,440604,398.3,531.8,36.9,16,2,24.9
44003440605,44,003,440605,393.3,594.4,42.2,16.6,2,18.8
44003440606,44,003,440606,216.5,337.8,17.9,6.9,1,17.6
44003440607,44,003,440607,626.6,708.5,52.4,20.8,2.9,19.9
44003440608,44,003,440608,571.3,697.6,41.1,23.4,2.1,33.3
44003440609,44,003,440609,399.6,633.5,45.2,15.5,3.1,18.6
44003440610,44,003,440610,271,334,25,16,1,14
44003440611,44,003,440611,414.6,499.4,30.9,9.6,0,15.4
44003440612,44,003,440612,472.6,524.7,42.3,7,0,24.1
44003440613,44,003,440613,389.2,460,39.2,6,3,18.1
44003440614,44,003,440614,229,216.4,6.1,2,1,9
44003440615,44,003,440615,468.9,649.6,38.7,8.2,2,29.3
44003440616,44,003,440616,551.2,749.6,49.8,7.7,6.1,27.2
44003440617,44,003,440617,340.7,525.2,52.8,22.3,0,22.4
44003440618,44,003,440618,186,280,25,6,2,10
44003440901,44,003,440901,239.6,160.5,15.2,4,2,7.1
44003440902,44,003,440902,966.1,799.4,62.9,10,2,52.9
44003440903,44,003,440903,932.6,569.2,61.4,15.2,0,39.2
44003440904,44,003,440904,909.7,740.2,85.3,17.9,1,54.6
44003440905,44,003,440905,975.1,852.2,58,12,3,44
44003443501,44,003,443501,1059,741,78,24,3,42
44003443502,44,003,443502,938,722,57,29,1,43
44003443503,44,003,443503,487,379,33,9,2,19
44003443504,44,003,443504,886,502.6,55.7,17.4,2,36.5
44003443505,44,003,443505,300.2,292.9,21.3,8.4,0,10.2
44003443506,44,003,443506,295.6,298.6,34,15,0,14
44003443507,44,003,443507,172.5,129.4,12,5,0,11
44003443508,44,003,443508,692.2,593.2,50.8,27.2,2.8,45.9
44003443509,44,003,443509,181,148,9,6,0,6
44003443510,44,003,443510,536.5,436.5,32.4,16.7,0,25.5
44003443511,44,003,443511,829,725,41,19,3,30
44003443512,44,003,443512,522,507,37,25,0,28
44003443513,44,003,443513,683.6,676.1,62.8,20.6,4.7,34.6
44003443514,44,003,443514,921.1,905.1,54.2,36.1,4,57.1
44003443515,44,003,443515,863,887.8,64.6,25.8,5,33.8
44003443516,44,003,443516,239,256,21,10,1,11
44003443517,44,003,443517,260,314,30,8,2,11
44003443518,44,003,443518,877.3,933,83.4,24.9,5,46.7
44003443519,44,003,443519,865.6,942.5,78.1,29,4,51
44003443520,44,003,443520,687.4,668,46.7,22.2,4,30.4
44003443521,44,003,443521,650.1,664.8,57.7,22.9,3.2,27.5
44003443522,44,003,443522,484.5,525.5,46,16,0,18
44003443523,44,003,443523,847,814,73,21,1,46
44003443524,44,003,443524,576.8,585.5,48.6,20.5,0.1,31.8
44003443525,44,003,443525,642,659,37,21,2,38
44003443526,44,003,443526,248,182,13,2,1,13
44003443527,44,003,443527,619.7,572.6,57.3,24.9,2,34.2
44003443528,44,003,443528,376,272,28,8,0,17
44003443529,44,003,443529,631,593.1,35.6,14.3,2,35.5
44003443530,44,003,443530,1064.5,968.3,58.5,18.2,1.3,44.2
44003443531,44,003,443531,1069.8,892.5,58.1,15,2,50.1
44003443532,44,003,443532,358.3,335.6,33.1,8.1,2,8.1
44003443533,44,003,443533,368,358,23,12,1,9
44003443701,44,003,443701,379.5,594.5,48.5,19.8,2,26.8
44003443702,44,003,443702,301.9,444,32.2,7.4,1.9,13.7
44003443703,44,003,443703,227,444,36,5,2,13
44003443704,44,003,443704,219.2,419.6,29.4,6.9,2,8.9
44003443801,44,003,443801,551.1,556,31.4,21.5,4,19.8
44003443802,44,003,443802,374,352.5,34.5,11.2,0.2,15.6
44003443803,44,003,443803,244.9,242,21.5,6.8,0,18.5
44003443804,44,003,443804,928,1033.5,58.5,27.8,3.8,35.5
44003443805,44,003,443805,372.5,404.4,15.7,12.8,1.2,15.1
44003443806,44,003,443806,327.5,363.9,25.2,7.1,1,6.1
44003443807,44,003,443807,936.4,859.9,67.8,27.1,0.1,39.4
44003443808,44,003,443808,738.4,849.8,62.3,18.1,3,28.2
44003443809,44,003,443809,445.5,435.7,20.3,7.7,0.7,14.7
44003443810,44,003,443810,469.4,472.5,32.9,11.2,3,28.6
44005441501,44,005,441501,1103.9,548.8,50.2,20.7,3.9,38.2
44005441502,44,005,441502,1071,596.8,68.7,25.3,2.1,33.7
44005441801,44,005,441801,1123.2,794.6,101.9,39.5,5.7,47.2
44005441901,44,005,441901,721.1,475.4,44.4,10.1,2,26.1
44005441902,44,005,441902,878,552,47,16,4,33
44005441903,44,005,441903,876.1,468.4,50.1,18.6,1,35.1
44005441904,44,005,441904,1099.4,707.2,88.9,36,3,45
44005441905,44,005,441905,730.8,557.6,53.4,34.6,1,22.8
44005442101,44,005,442101,663.3,262.8,26.6,18.4,0,26.6
44005442102,44,005,442102,656.4,222.6,29.1,16.4,1.4,20.9
44005442103,44,005,442103,466.9,143,23,11,2,12
44005442104,44,005,442104,347,114,8,7,1,21
44005442105,44,005,442105,888,380,48,20,1,38
44005442106,44,005,442106,1011,487,60,26,0,30
44005442107,44,005,442107,900,580,68,16,5,43
44005442108,44,005,442108,529,165,32,9,2,18
44005442109,44,005,442109,793.6,272.2,35.4,19.7,1.7,25.4
44005442701,44,005,442701,53,40,6,3,0,5
44005442702,44,005,442702,140,118,13,10,1,4
44005442703,44,005,442703,815.4,557.8,57.7,27.2,2,30.3
44005442704,44,005,442704,1055.4,856.2,87.2,30.7,2,42.6
44005442705,44,005,442705,353.5,286.1,34.2,4.1,0,25.1
44005442706,44,005,442706,349.1,309.2,23,8,0,22
44005442707,44,005,442707,1049.6,872.1,80.4,25.5,2,66.6
44005442708,44,005,442708,1150.5,890.7,106.8,20.9,2.1,54.5
44005443301,44,005,443301,772.3,654,52.8,20.5,0,34.2
44005443302,44,005,443302,739.1,745.9,51.9,21.1,1.9,38.5
44005443303,44,005,443303,455,421,21,16,0,21
44005443304,44,005,443304,638.6,577.1,42.3,16.3,2.1,34.3
