GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDWHI,G18USSRFLA,G18USSOWRI,G18GOVDRAI,G18GOVRFUN,G18GOVITRI,G18GOVIMUN,G18GOVOGIL,G18GOVOARM,G18GOVOWRI,G18LTGDMCK,G18LTGRPEN,G18LTGIRIC,G18LTGIMCC,G18LTGOHEL,G18LTGOWRI,G18ATGDNER,G18ATGOGOR,G18ATGOWRI,G18TREDMAG,G18TRERRIL,G18TREOWRI,G18SOSDGOR,G18SOSRCOR,G18SOSOWRI
44001440101,44,001,440101,877,466.5,4.8,819.1,408.6,53.2,20,30.4,13.3,3.8,817.2,343,37.1,17.1,84.6,12.3,1039.5,172.9,13.3,902.7,417.1,0.9,936.9,381,0.9
44001440102,44,001,440102,1272.5,574.5,3.1,1182.6,507.2,73,20,35.4,19.9,3.1,1199.2,410.6,31.1,29.5,105.6,18.2,1438.7,245.3,11.5,1298.8,512,3,1330.8,477.8,2
44001440103,44,001,440103,967.9,465.4,4.8,1012,349.6,32,7.8,24.2,5.8,4.8,931,319.4,14.6,25.1,85.2,13.6,1147.7,138.6,18.4,1014.3,399.7,0,1026.9,378.4,1
44001440104,44,001,440104,1092.9,517.1,4.6,1030.6,459.2,45.9,16.5,43.9,10.1,4.6,1029.6,381.4,30.3,30.2,78.9,16.5,1278,170.7,10.1,1135.8,445.7,0,1146.1,429,1.8
44001440105,44,001,440105,1242.1,613.4,3.2,1218.7,493.3,55.7,17.6,38.7,18.4,9.2,1174.7,458.3,17.2,22.1,94,36.6,1429,222.4,21.4,1275.7,545.7,4,1307,507.1,2.1
44001440201,44,001,440201,461,391.7,5.8,404.2,340.7,58.7,11.6,25,12.5,1,459.1,283.9,22.1,20.2,28.9,13.5,600.6,172.3,6.7,527.5,309.9,0,510.1,322.4,0
44001440202,44,001,440202,360.7,167.3,0,331.7,137.3,29,11.6,10.6,5.8,1.9,319.1,121.8,11.6,19.3,20.3,12.6,387.8,88,4.8,383.9,134.4,2.9,372.3,131.5,2.9
44001440203,44,001,440203,1125,765.6,3,1044.9,662.5,82.1,24,47,16,4,1086,537.4,42.1,37,68,39,1438.2,250.3,9,1287.1,567.5,2,1271.1,581.5,1
44001440204,44,001,440204,778.3,458.9,3.1,692.8,406.5,64.1,18.4,35,16.2,6.2,744.5,327.6,42.9,24.7,29.9,13.3,908.8,210.4,7.1,837.1,368.1,0,824.6,367.7,2
44001440205,44,001,440205,757.7,627.5,4.9,639.2,560,101.8,17.6,48,11.8,7.8,768.5,421.9,45,33.3,41.1,12.7,976,266.3,6.8,845.8,490.4,2,868.3,473.8,2
44001440206,44,001,440206,683,406,2,561,373,66,17,47,17,3,657,285,42,19,37,12,828,185,3,754,306,0,732,328,1
44001440207,44,001,440207,523.3,291.7,0,497.3,252.7,33,5.4,14.4,5.2,3.1,493.9,200.2,19.4,28.7,24.7,17.4,633.2,101,2.2,581.1,226.6,0.1,568.7,227.5,0.1
44001440208,44,001,440208,576,342,0,483,297,63,19,29,14,4,538,249,27,15,40,14,654,176,10,597,304,1,610,280,1
44001440209,44,001,440209,131,61,0,108,72,10,0,1,5,1,126,41,2,7,4,2,148,26,2,132,50,0,132,49,0
44001443401,44,001,443401,601.2,318.1,3,539.1,280.1,38,18,24,17,6,562.2,219.1,34,34,30,12,660.2,189.1,7,604.2,288.1,3,623.2,272.1,0
44001443402,44,001,443402,777.5,647.5,3,675.5,589.4,67.1,26,45,17,4,788.5,466.3,39,20,47,9,987.7,277.2,14,839.6,544.4,2,880.6,507.4,0
44001443403,44,001,443403,1104.3,583.7,2.2,963.1,530.8,89.2,18.4,50.9,16.5,7,1023.2,416.6,46.8,44.8,66.1,23.5,1251.5,290.5,15.2,1153.8,492.6,2,1188.1,465.1,1
44003440601,44,003,440601,384.7,413.5,4,296.4,384.8,59.9,14.1,28,10,1,393.3,323.6,26,15.2,23.9,3,516.6,204.8,13,406.6,380.6,2,441.2,343.9,2
44003440602,44,003,440602,105.7,99.7,0,74.7,97.9,14.6,3.4,6,7.7,0,103.9,79,6,2.6,9.4,0,129.7,57.5,3.4,114.2,88.5,0,118.6,83.3,0
44003440603,44,003,440603,742.2,811,10.1,572.7,812.6,80.8,24.2,52.1,15.5,5.2,725.1,657.2,45.2,34,49.1,5.7,1000,397.3,24,764.6,755.4,5.3,837.3,687.1,2.4
44003440604,44,003,440604,404.2,396.2,0,313.5,387.2,46.9,16,20,15,2,397.3,310.4,27.9,25.9,27.9,3,523,224.5,10,416.2,366.2,0,464.1,327.3,0
44003440605,44,003,440605,405.2,458,2.9,294.8,477.7,49.7,9,26.3,6.9,3.9,385.6,384.9,29.5,25.6,25.3,2.9,536.7,241,10.8,411.2,437.9,1.9,458.1,393.8,1
44003440606,44,003,440606,200.7,271.4,1.9,156.2,262.4,32,1.3,16.5,5.8,0.1,200.3,226.9,13,10.1,13.6,3.8,290.5,143,5,213.2,256.4,1,241.5,222.3,2.9
44003440607,44,003,440607,622.3,575.5,1,510.5,568.3,43.8,18.7,41.5,14.8,3,627.4,479,33.6,14.1,30.6,0,821.4,286.8,13.8,669.8,514.9,0,715.3,472.3,0
44003440608,44,003,440608,554.3,551.1,0,425.2,554,58.8,10.4,35.8,11.3,3.1,535.5,445.4,38.6,28.2,23.6,4,725.2,275.6,10.3,578.3,501.9,0,607.2,469.1,0
44003440609,44,003,440609,415,513.4,4.1,317.7,511,47.5,7.3,32.8,12.2,2.1,425.4,398.3,39.9,19.8,29.8,5.1,570.8,257.1,24.3,460.1,463.9,0.1,478.5,435.6,1
44003440610,44,003,440610,286,246,3,239,230,31,14,19,3,0,281,193,20,15,24,1,359,135,8,320,211,0,328,202,0
44003440611,44,003,440611,390.5,400.1,1,330.7,371.2,36.6,9.6,25.1,7.7,2.9,414.6,310.4,13.5,18.3,15.4,0,539.9,166.8,9.6,426.1,342.3,1,462.8,309.5,1
44003440612,44,003,440612,424.6,373.5,5,324.1,377.5,43.2,15.1,20.1,12.1,5,429.6,278.2,25.1,15,23.1,8,523,205.9,8.1,431.7,345.3,2,471.8,310.3,0
44003440613,44,003,440613,372.2,353.3,5,285.8,340.3,64.2,6.1,26.1,6.1,4,358.3,285.7,37.1,8.2,24.1,6,452.1,210,10.1,368.5,344.9,4,406.7,309.7,3
44003440614,44,003,440614,199.1,151.3,0,171.1,125.4,33,9,6,2,0,194.1,115.2,11,11,11,0,245.3,76.1,0,188.2,152.2,0,211.2,129.2,0
44003440615,44,003,440615,465.3,539.5,0,375.1,523.8,40.8,20.2,31.5,5.2,5.1,473.9,433.5,28.3,21.4,30.3,2,655.5,250.5,13.2,518.1,473.2,2,537.9,455.5,0
44003440616,44,003,440616,550.5,575.2,3,457.1,563.3,52.6,10.7,33.3,10.4,4,558.7,432.8,25.9,34,36.3,6.2,751.9,255.1,19.5,611.5,488.4,2,660.8,439.7,4
44003440617,44,003,440617,360.6,419.4,0,249.9,426.4,37.8,11.2,32.5,14.1,3.1,338.9,346.6,16.4,28.4,25.4,5,455.2,239.9,8.3,361.8,392.9,1,398.5,365.2,2
44003440618,44,003,440618,198,214,2,179,206,18,3,8,2,0,196,185,12,3,10,1,273,97,9,194,210,0,227,181,0
44003440901,44,003,440901,194.5,155.9,2,178.9,155.7,7.4,2.1,4.2,3,1,196.4,119.5,8.1,5.1,12.1,3,249.6,67.1,2.1,201.7,136.6,1,219.8,121.5,1
44003440902,44,003,440902,883.3,746.5,1,822.4,671.7,47.9,19,50.9,8,7,917.2,555.9,32.9,28.9,27,12,1220.6,222.6,23,914.2,663.7,4,1001,588.8,1
