GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREOFUE,G20PREOLAR,G20PREOCAR,G20PREOWRI,G20USSDREE,G20USSRWAT,G20USSOWRI
44001440101,44,001,440101,1200.09,529.25,16.15,0,0.95,3.8,10.45,1247.6,460.84,3.8
44001440102,44,001,440102,1761.26,635.66,25.4,3.1,2,0.14,9.47,1772.38,594.06,0.07
44001440103,44,001,440103,1352.13,442.52,21.29,3.87,0.97,3.86,16.41,1333.85,461.65,1.93
44001440104,44,001,440104,1507.83,599.38,18.34,1.82,5.47,3.67,13.75,1531.81,548.85,2.76
44001440105,44,001,440105,1764.59,615.59,29.68,4.07,2.21,2.14,26.5,1755.53,609.63,4.1
44001440201,44,001,440201,609.27,539.95,6.74,2.89,1.92,0.96,3.85,684.34,441.77,2.89
44001440202,44,001,440202,473.83,212.74,11.6,1.93,0.97,2.9,4.83,500.91,174.06,0.97
44001440203,44,001,440203,1460.24,852.8,28.03,1,2,2,13.01,1564.36,711.63,3.01
44001440204,44,001,440204,951.2,614.56,19.35,2.04,2.02,1.04,9.16,1042.96,484.58,5.04
44001440205,44,001,440205,950.56,853.64,17.62,1.96,0.98,1.96,7.83,1084.67,660.79,1.96
44001440206,44,001,440206,833,632,17,2,3,0,10,980,458,2
44001440207,44,001,440207,646.17,295.26,10.4,0.07,1.03,1.1,3.17,680.09,246.94,0.03
44001440208,44,001,440208,727,480,21,4,6,3,7,799,384,1
44001440209,44,001,440209,170,95,7,1,1,1,1,180,76,0
44001443401,44,001,443401,964.23,535.19,10.01,2,3,1,10,1025.25,424.15,5
44001443402,44,001,443402,1103.68,903.61,31,3,3,4,14,1219.76,743.5,1
44001443403,44,001,443403,1496.83,846.26,33.25,6.11,1.07,6.04,14.14,1614.65,678.57,4.11
44003440601,44,003,440601,516.81,611.68,17.95,1.99,2.01,2.96,7.96,604.81,511.48,1.99
44003440602,44,003,440602,131.43,149.47,6.01,0,0.86,0,0.86,152.05,128.85,0
44003440603,44,003,440603,1017.89,1163.92,19.85,5.77,5.49,5.44,6.33,1166.93,971.64,2.68
44003440604,44,003,440604,545.03,592.67,9.98,2.99,0,2.99,6.98,652.76,457.02,1
44003440605,44,003,440605,489.6,652.36,19.44,5.81,1.95,2.91,5.9,560.79,569.28,2.92
44003440606,44,003,440606,257.28,423.44,8.77,1.95,1.93,0.98,2.97,317.01,351.05,0.99
44003440607,44,003,440607,828.3,846.53,21.68,0.99,1.96,1.99,5.98,925.21,722.82,2.03
44003440608,44,003,440608,772.17,821.36,24.41,2.01,2.04,3.03,9.1,876.99,695,1.04
44003440609,44,003,440609,563.4,682.17,14.58,2.17,1.06,1.09,3.17,642.48,582.74,1.09
44003440610,44,003,440610,355,368,5,4,0,1,1,417,289,1
44003440611,44,003,440611,526.4,556.29,5.78,0,0,1.93,5.78,578.46,481.09,4.82
44003440612,44,003,440612,581.99,596.26,16.09,4,0.01,1,8.01,654.3,505.95,0
44003440613,44,003,440613,484.71,518.4,10.09,3.01,1,3.01,4.05,528.29,451.72,0
44003440614,44,003,440614,278.99,249.38,2.03,1,1,1,4,320.02,200.33,1.99
44003440615,44,003,440615,610.26,713.8,11.12,2,0,3.04,3.13,698.34,586.25,3.11
44003440616,44,003,440616,672.56,837.24,21.68,2.26,1.08,2.99,12.29,791.77,692.4,0.09
44003440617,44,003,440617,459.96,626.7,16.25,1.06,1,0.02,4.06,528.88,533.4,1.02
44003440618,44,003,440618,254,312,5,0,1,2,0,279,278,0
44003440901,44,003,440901,293.91,184.15,6.06,1,0.01,0.01,2.03,313.28,164.59,0
44003440902,44,003,440902,1279.47,812.4,16.97,3.99,1,2.99,21.96,1326.38,763.49,0
44003440903,44,003,440903,1160.12,615.35,25.17,0.02,1.02,2.01,18.1,1194.56,575.01,1.01
44003440904,44,003,440904,1249.99,797.68,29.77,2.98,2.98,0.99,7.95,1322.42,727.24,0.99
44003440905,44,003,440905,1249.87,817.26,25.98,1,3,2,23.98,1305.82,764.31,2
44003443501,44,003,443501,1338,742,27,0,2,6,19,1431,656,0
44003443502,44,003,443502,1210,795,21,8,5,3,12,1343,650,3
44003443503,44,003,443503,616,436,14,3,2,1,8,687,352,1
44003443504,44,003,443504,1129.26,467.34,22.18,2.04,1.04,4,9.15,1187.44,420.05,1
44003443505,44,003,443505,393.94,316.25,10.17,0.93,0.95,0.01,2.79,440.95,263.51,0.01
44003443506,44,003,443506,403.33,344.37,8.02,5.98,1,1,5.99,469.26,274.4,0.01
44003443507,44,003,443507,219.55,133.42,7.01,1,1,0,1.01,235.62,113.35,0
44003443508,44,003,443508,888.89,668.31,21.51,4.7,4.69,1.87,10.39,1004.79,537.27,2.83
44003443509,44,003,443509,217,165,2,1,0,0,3,254,121,1
44003443510,44,003,443510,638.53,489.44,9.81,0,0.98,0.98,6.87,713.08,405.09,1.96
44003443511,44,003,443511,1062,762,11,1,2,3,14,1157,617,4
44003443512,44,003,443512,717,525,13,1,0,3,2,789,431,1
44003443513,44,003,443513,864.41,695.01,14.06,3.76,1.87,2.81,6.57,1003,543.31,0
44003443514,44,003,443514,1240.76,969.29,30.05,2.02,0,5.01,18.03,1361.16,816.84,2
44003443515,44,003,443515,1153.99,957.36,20.86,6.95,1.99,2.98,10.92,1318.85,768.67,0.99
44003443516,44,003,443516,291,278,3,2,0,0,2,327,223,1
44003443517,44,003,443517,333,315,11,4,0,0,1,391,252,0
44003443518,44,003,443518,1103,1049.16,25.85,4.96,5.95,0.01,17.88,1271.84,864.4,2
44003443519,44,003,443519,1137.19,1014.63,32.01,3.02,2,4,17,1277.56,847.22,4.99
44003443520,44,003,443520,922.29,784.91,19.22,3.04,2.05,3,11.15,1058.72,623.36,3.02
44003443521,44,003,443521,844.85,731.62,25.6,2.16,3.08,3.12,10.28,981.76,586.15,2
44003443522,44,003,443522,662.7,583.59,11.01,7,2,3,5.01,746.8,485.47,2
44003443523,44,003,443523,1074,835,27,2,2,1,9,1214,684,7
44003443524,44,003,443524,659.48,585.06,17.32,1.1,2.04,0.08,5.16,729.06,497.18,1.99
44003443525,44,003,443525,858,660,29,1,0,4,9,929,578,1
44003443526,44,003,443526,347,231,6,0,1,0,2,379,198,1
44003443527,44,003,443527,828.89,588.97,23.06,3,3,1.99,12.96,888.02,541.75,1.99
44003443528,44,003,443528,489,292,10,0,0,0,4,524,260,0
44003443529,44,003,443529,786.92,600.13,11.18,2,1.02,2.02,7.13,896.31,483.56,0.04
44003443530,44,003,443530,1477.89,982.86,24.19,1.18,0,5,8.47,1601.18,818.37,4.29
44003443531,44,003,443531,1291.34,980.49,20.03,2.01,2,4.01,15.04,1363.43,887.4,2
44003443532,44,003,443532,496.8,364.68,10.02,0.01,2,1,2.02,540.08,303.32,1
44003443533,44,003,443533,433,393,12,2,0,1,3,497,324,0
44003443701,44,003,443701,518.23,688.52,15.84,2.97,0,0.99,2.97,584.63,605.25,0.99
44003443702,44,003,443702,437.89,478.23,8.39,2.69,0.93,0.04,3.71,488.63,409.12,0.9
44003443703,44,003,443703,304,508,5,0,0,1,2,349,444,1
44003443704,44,003,443704,389.04,511.49,10.74,0.04,0.98,0.96,3.93,434.15,451.67,0.02
44003443801,44,003,443801,762.26,696.87,10.58,5.05,1.05,1.01,6.5,878.51,551.41,2.96
44003443802,44,003,443802,510.83,412.38,11.54,1.01,2.06,0.04,4.1,580.49,321.93,1.01
44003443803,44,003,443803,285.9,279.07,3.9,1.95,0.98,0.98,0.98,339.57,215.65,0.98
44003443804,44,003,443804,1241.53,1098.68,23.01,4.79,1.92,0.96,18.22,1409.3,905.02,0.96
44003443805,44,003,443805,528.76,427.49,9.5,4.2,1.11,3.11,2.21,605.4,327.53,2.11
44003443806,44,003,443806,428.38,385.17,8.03,1.01,3,0.01,2.04,487.91,317.49,0
44003443807,44,003,443807,1121.67,997.43,28.25,2,2.04,5,19.04,1254.56,836.52,5
44003443808,44,003,443808,935.99,941.39,18.16,2.03,1,2,7.05,1094.62,736.55,0.01
44003443809,44,003,443809,589.07,486.77,14.71,2.8,0,0,3.5,644.4,404.84,0.7
44003443810,44,003,443810,634.03,601.26,10.23,2.05,2.04,2.02,8.04,741.82,468.23,0.02
44005441501,44,005,441501,1509.85,635.21,21.49,0.02,4.89,0.99,9.76,1582.12,550.06,2.94
