GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDSMI,G18GOVRMCM,G18GOVOWRI,G18SOSDWHI,G18SOSRHAM,G18SOSOWRI,G18TREDGLE,G18TREWGLE,G18TRERLOF,G18TREAWOR,G18TREOWRI,G18ATGDANA,G18ATGWANA,G18ATGRWIL,G18ATGOWRI,G18COMRECK,G18COMOWRI,G18SPIRMIT,G18SPIOWRI,G18AGRUNEL,G18AGRGEDM,G18AGRRWEA,G18AGROWRI
45001000001,45,001,000001,279,538,0,249,562,0,230,9,569,7,0,243,12,567,0,637,8,592,1,45,75,588,4
45001000002,45,001,000002,407.5,236.1,0,399.1,246.6,0,387.8,12.3,246.4,4.3,0,399.2,13.2,237.3,0,340.6,7.2,252,0,80.1,73,266.9,3.1
45001000003,45,001,000003,302,278,0,282,293,0,270,6,289,12,1,263,19,289,0,351,6,309,1,51,65,306,0
45001000004,45,001,000004,128,298,0,129,300,0,121,2,299,7,0,117,9,301,0,324,0,303,2,29,24,301,0
45001000005,45,001,000005,158,497.2,1,136.6,516.5,0,128.3,5.1,503.5,15.1,1,133.7,10.2,509.2,0,547.3,1.2,528.5,4,13.7,35.9,530.5,0.1
45001000006,45,001,000006,78.6,190.9,0,74.5,194.1,0,75.3,4.1,184.9,4.1,0,71.4,5.1,188.9,0,207.4,3.1,195,2.1,10.2,23.4,189.1,0
45001000007,45,001,000007,574.5,374.5,0,569.3,383.6,0,557.3,10.1,379.6,7,0,560.3,12.1,383.6,0,445.9,4,389.7,0,75.3,85.2,387.7,0
45001000008,45,001,000008,131,429,4,110,449,1,108,7,436,6,1,105,8,442,2,481,3,457,1,21,29,456,1
45001000009,45,001,000009,61,251,1,59,253,1,59,3,248,2,0,57,1,255,0,268,3,252,2,10,20,255,1
45001000010,45,001,000010,312.8,512.5,0,289.5,530.8,0,278.4,10.3,506.4,10.2,0,299.4,7.2,512.7,0,573.3,4.1,538.8,2,42.4,65.7,534.8,0
45001000011,45,001,000011,146.7,272.7,1,137.8,277.6,0,136.8,8.9,265.7,4,0,141.8,6.9,271.7,0,306.4,7.9,285.6,0,33.7,27.8,285.6,0
45001000012,45,001,000012,139.1,466.7,0,121.1,481.7,0,118.1,16.8,461.9,9,0,119.1,8,475.7,0,502.7,3,478.9,2,19.9,33,481.7,0
45001000013,45,001,000013,124.2,468.5,0,110.4,478.4,0,102.5,4,479.4,3.9,0,114.2,4,469.7,1,503,5.9,479.7,0,20.6,28.7,476.5,3.9
45001000014,45,001,000014,135.6,329.5,1,123.7,341.4,0,118.7,8.9,336.4,2,0,120.7,5,338.4,0,359.1,1,346.3,2,25.7,23.8,342.3,0
45001000015,45,001,000015,135.6,322.7,0,125.3,335.8,0,117.9,7.5,329.3,7.5,0,128.2,3.7,326.4,0,360.1,4.7,345.2,0,26.2,25.3,342.4,3.7
45003000000,45,003,000000,12,13,0,11.6,13.3,0,11.2,0.5,12.9,0.3,0,11.2,0.4,13.3,0,15.2,0.5,13.3,0,2.3,2.9,13.4,0
45003000001,45,003,000001,260,472.1,1,221.1,508,1,201.2,12.9,504,11,1,232.1,11.9,484.1,4,564.7,14.9,525.9,1,24.9,95.6,522.9,4
45003000002,45,003,000002,396.3,113.8,0,392.3,119.8,0,378.3,22,108.8,5,0,382.3,21,109.8,0,159.7,18,120.8,0,43.9,91.8,117.8,2
45003000003,45,003,000003,553,86,0,554,89,0,547,10,84,8,0,539,13,91,1,171,16,96,1,111,76,99,4
45003000004,45,003,000004,262.2,39.5,0,256.2,45.6,0,252.2,4.1,42.5,2,1,253.2,8,42.5,0,70.7,7,44.5,3,35.1,42.3,42.6,1
45003000005,45,003,000005,377.4,215.7,1,354.3,235.7,0,352.3,10,219.7,10,0,354.3,11,229.7,0,318.8,9,250.7,0,60,111.1,246.7,1
45003000006,45,003,000006,290.3,438.7,0,242.1,477.1,1,232.2,11.1,464.9,10,0,240.3,15,459.9,1,553,9.4,497.9,7.1,20.1,130,486.9,4
45003000007,45,003,000007,190,205,1,187,210,1,180,12,190,10,1,185,6,208,1,236,7,210,2,51,35,204,7
45003000008,45,003,000008,450.3,361.7,0,438.6,371.5,0,434.7,20.5,348.1,9.8,1,433.7,21.5,355,0,415.1,17.7,361.9,2.9,80.7,74.6,361.9,2
