GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20USSRGRA,G20USSDHAR,G20USSCBLE,G20USSOWRI
45001000001,45,001,000001,867,419,8,1,1,852,422,22,1
45001000002,45,001,000002,400.8,733.3,3.1,1.1,1,379.5,752.4,10.5,0.1
45001000003,45,001,000003,482.9,443,11,2,0,466,451,24,1
45001000004,45,001,000004,446,208,3,0,0,429,215,13,0
45001000005,45,001,000005,787.4,186,7.2,0,0,767.7,192.5,17.5,2
45001000006,45,001,000006,315,87.1,0.1,1,0,308.8,90.2,5.3,0
45001000007,45,001,000007,529.9,664.5,6,3,2,507.7,683.6,8.1,0
45001000008,45,001,000008,623,145,7,4,0,616,160,7,0
45001000009,45,001,000009,344,71,7,0,0,333,77,10,2
45001000010,45,001,000010,773.6,363.6,15.1,2.1,0,766.3,378.9,14.3,0
45001000011,45,001,000011,313.3,150.7,1,2,0,319.3,148.7,1,1
45001000012,45,001,000012,712.2,177.7,7,3,0,699.3,188.6,13.9,2
45001000013,45,001,000013,718.1,122.1,6,0,1,695.5,137.8,13.9,0
45001000014,45,001,000014,454.1,142.5,4,1,0,442.3,146.4,12.9,0
45001000015,45,001,000015,470.8,188.3,2.8,2.8,0.9,465.2,189.2,9.2,1.9
45003000000,45,003,000000,20.4,14.9,0.3,0.1,0,19.4,15.6,0.6,0
45003000001,45,003,000001,617.6,371.6,11,5,1,630.6,366.6,7.1,0
45003000002,45,003,000002,184.7,587.9,6,5,2,185.7,597.9,5,1
45003000003,45,003,000003,133,845,4,7,2,118,864,12,0
45003000004,45,003,000004,75.5,363,2.1,1,0,72.3,369.1,4.1,0
45003000005,45,003,000005,327.6,541.1,11.8,3,0,341.4,540.1,5.9,0
45003000006,45,003,000006,594.5,405.2,13.9,5,0,617.2,397.2,11.2,0
45003000007,45,003,000007,299,239,2,4,1,283,252,13,0
45003000008,45,003,000008,501.1,584.6,7.9,4.9,2,495.1,587.6,15.7,4.9
45003000009,45,003,000009,540,491,15,9,1,522,511,20,1
45003000010,45,003,000010,278.9,475.9,7,2,1,273,480.8,9,1
45003000011,45,003,000011,358.5,672.4,10,10,1,347.4,681.5,17.1,0
45003000012,45,003,000012,250.1,222,3.2,3.1,3,235,243,3.4,2.1
45003000013,45,003,000013,843,440,19.2,6,2,831,467.9,14.2,1
45003000014,45,003,000014,796.1,327.2,8.9,5,0,780.2,336.1,16.9,1
45003000015,45,003,000015,520,165,8,4,0,502,179,15,1
45003000016,45,003,000016,460,263,7,3,0,450,274,10,0
45003000017,45,003,000017,881.2,266.7,5.3,1.1,0,863.8,274.1,20.3,0
45003000018,45,003,000018,600,190,8,0,0,577,203,19,0
45003000019,45,003,000019,470.7,131.2,8.1,2,1,454.6,140.3,14.1,1
45003000020,45,003,000020,910.9,543.6,20.1,4,0,922.7,531.6,23.1,1
45003000021,45,003,000021,453.6,317.2,10.9,1,3,447.6,330,15.8,0
45003000022,45,003,000022,886,533,16,3,2,876,542,20,1
45003000023,45,003,000023,531.3,512.6,15,3.8,0.9,516.4,525.6,24.3,2.8
45003000024,45,003,000024,431,138,8,0,0,422,144,9,2
45003000025,45,003,000025,583,425,11,9,2,572,442,10,0
45003000026,45,003,000026,367,349,17,1,0,359,351,19,3
