GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCAS,G16USSRTHU,G16USSDWIL,G16HALRNOE,G16HALDHAW,G16PUCRNEL,G16PUCDRED
460030VTD-1,46,003,0VTD-1,230,62,11,4,254,60,229,85,270,40
460030VTD-2,46,003,0VTD-2,120.01,23,7,3,121.01,32,107.01,50,145.01,10
460030VTD-3,46,003,0VTD-3,289.97,100.99,19,6,313.96,106.99,261.97,158.98,361.96,60.99
460030VTD-5,46,003,0VTD-5,128.03,61.01,11,1,135.04,62.01,128.03,74.02,153.04,44.01
460030VTD-7,46,003,0VTD-7,206,93,26,5,249,82,203,124,271,53
460050VTD-1,46,005,0VTD-1,258.5,104.41,19.93,5.06,284.77,110.11,261.98,131.94,299.32,87.33
46005VTD-01,46,005,VTD-01,639.65,177.64,38.27,3.01,696.78,167.6,617.43,238.35,709.87,132.28
46005VTD-02,46,005,VTD-02,600.73,200.9,40.48,12.96,660.78,207.63,589.55,273.74,703.42,145.64
46005VTD-04,46,005,VTD-04,193.05,77.98,14.89,3.78,212.66,82.23,195.65,98.53,223.53,65.22
46005VTD-05,46,005,VTD-05,973.8,383.96,64.57,18.13,1114.6,357.12,1001.48,470.56,1215.14,235.88
46005VTD-W2,46,005,VTD-W2,359.02,226.23,42.3,11.8,398.36,240.98,361.97,273.44,424.92,204.59
46005VTD-W3,46,005,VTD-W3,377,212,29,9,437,188,385,240,462,142
46005VTDW01,46,005,VTDW01,149.86,61.88,11.8,3.01,165.13,65.3,151.84,77.99,173.67,52.01
46005VTDW71,46,005,VTDW71,314.67,131.41,19.45,2.95,352.97,119.62,307.01,163.23,379.49,82.5
46005VTDW72,46,005,VTDW72,27.3,11.45,1.86,0.36,31.41,10.74,28.49,13.72,34.45,7.14
46005VTDW81,46,005,VTDW81,355.13,233.5,27.07,7.03,454.31,182.42,377.17,253.57,489.43,123.29
46005VTDW82,46,005,VTDW82,206.3,90.65,13.4,4.91,240.23,77.25,213.44,104.93,260.77,53.14
460070VTD-1,46,007,0VTD-1,70,183,11,2,112,148,96,166,83,179
460070VTD-4,46,007,0VTD-4,150.08,7.3,12.01,0.01,157.13,11.26,150.11,16.3,149.07,11.31
46007VTD-02,46,007,VTD-02,108.38,62.15,10.79,4.11,127.9,57.01,118.65,65.75,115.57,64.72
46007VTD-05,46,007,VTD-05,80.57,46.2,8.02,3.05,95.07,42.38,88.2,48.87,85.91,48.11
46007VTD-06,46,007,VTD-06,22.06,12.65,2.2,0.84,26.03,11.6,24.15,13.38,23.52,13.17
46007VTD-27,46,007,VTD-27,235,101,13,4,240,112,244,109,228,118
460090VTD-1,46,009,0VTD-1,439,105,29,6,470,114,412,170,496,69
460090VTD-2,46,009,0VTD-2,369.69,107.62,15.94,10.96,405.57,104.63,360.73,143.49,423.5,74.74
460090VTD-3,46,009,0VTD-3,472.31,208.38,30.06,8.04,501.43,224.37,431.27,295.51,571.5,125.26
460090VTD-4,46,009,0VTD-4,337,156,32,6,388,178,295,247,426,96
460090VTD-5,46,009,0VTD-5,488.02,127.41,22.05,5.02,488.99,149.52,443.97,190.56,499.17,112.32
460110VTD-1,46,011,0VTD-1,192.85,168.38,39.38,8.07,251.03,135.93,211.24,184.62,254.08,116.66
460110VTD-2,46,011,0VTD-2,293,343,54,10,383,277,322,376,386,237
460110VTD-3,46,011,0VTD-3,309,356,64,13,404,288,340,390,408,246
460110VTD-4,46,011,0VTD-4,677,622,89,17,885,503,744,682,893,430
460110VTD-5,46,011,0VTD-5,1236,933,168,33,1615,754,1359,1023,1630,645
460110VTD-6,46,011,0VTD-6,1101,766,143,28,1439,620,1211,841,1452,530
460110VTD-8,46,011,0VTD-8,409,242,45,9,534,196,450,266,539,167
460110VTD-9,46,011,0VTD-9,388,234,46,9,507,190,426,257,511,162
46011VTD-10,46,011,VTD-10,380,192,37,7,496,155,417,210,501,133
46011VTD-11,46,011,VTD-11,370.35,249.56,62.89,11.98,484.14,201.64,407.28,273.52,489.14,172.69
46011VTD-12,46,011,VTD-12,187,64,9,2,245,52,206,71,247,45
46011VTD-13,46,011,VTD-13,138.8,84.06,11.73,1.95,180.83,68.42,152.48,92.86,182.78,58.65
46011VTD-14,46,011,VTD-14,702,415,71,14,917,336,772,455,926,287
46011VTD-15,46,011,VTD-15,95,75,9,2,124,61,104,82,125,52
46011VTD-16,46,011,VTD-16,269,135,32,6,352,109,296,148,355,94
460130VTD-1,46,013,0VTD-1,712,403,78,11,842,355,716,480,872,283
460130VTD-2,46,013,0VTD-2,369,264,42,6,437,232,372,314,452,185
460130VTD-3,46,013,0VTD-3,846.39,462.56,80.96,11.85,1000.65,406.36,851.35,550.35,1036.25,324.49
460130VTD-4,46,013,0VTD-4,318.37,210.14,47.66,7.09,376.08,184.65,320.43,250.94,390.47,147.91
460130VTD-5,46,013,0VTD-5,236,162,38,5,280,143,238,193,290,114
460130VTD-6,46,013,0VTD-6,1136.57,573.33,93.25,14.04,1344.23,504.16,1143.61,682.58,1392.38,402.94
460130VTD-7,46,013,0VTD-7,1197.94,530.02,83.84,12.11,1416.84,466.68,1205.39,631.55,1467.15,372.6
460130VTD-8,46,013,0VTD-8,531,324,69,10,628,285,534,385,650,227
460130VTD-9,46,013,0VTD-9,538.87,239.41,44.58,6.5,637.36,210.66,542.59,284.89,659.66,167.96
46013VTD-10,46,013,VTD-10,218.02,157.01,32,5,258.02,138.01,219.02,187.01,267.02,110
46013VTD-11,46,013,VTD-11,318.05,220.09,40.34,6.2,376.53,193.2,320.21,262.43,389.34,154.99
46013VTD-12,46,013,VTD-12,589.47,228.87,42.13,6.31,697.31,200.5,594.21,272.19,722.29,160.84
46013VTD-13,46,013,VTD-13,224,151,21,3,265,133,226,180,274,106
