GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRNOE,G18GOVDSUT,G18GOVLEVA,G18ATGRRAV,G18ATGDSEI,G18SOSRBAR,G18SOSDFRE,G18TRERHAE,G18TREDMAT,G18AUDRSAT,G18AUDDCOO,G18PUCRFIE,G18PUCDFRE,G18SPLRBRU,G18SPLDHOU,G18HALRJOH,G18HALDBJO,G18HALLHEN,G18HALIWIE
460030VTD-1,46,003,0VTD-1,165,102,6,177,91,199,67,184,71,195,65,192,69,181,74,180,77,2,11
460030VTD-2,46,003,0VTD-2,90,54,4,105,40,110,33,100,35,99,38,106,30,101,33,94,46,0,7
460030VTD-3,46,003,0VTD-3,168,215,9,188,182,219,141,189,153,208,138,217,129,189,144,199,165,2,19
460030VTD-5,46,003,0VTD-5,78,93,2,83,81,103,64,86,72,103,59,111,53,90,69,90,57,2,18
460030VTD-7,46,003,0VTD-7,143,143,8,149,127,199,86,157,106,170,100,181,89,173,92,165,98,5,23
460050VTD-1,46,005,0VTD-1,176.6,166.4,5.7,181.6,157.9,223.7,112,251.9,92.4,233.2,103.5,221.5,109.5,201.2,117.1,213.9,121.5,3.5,8.2
46005VTD-01,46,005,VTD-01,502.9,295.8,14.6,500.9,263.2,590.1,183.6,627.4,160.6,589.1,180.4,565.4,188.6,531.8,203.7,575.3,197.4,6.6,22.2
46005VTD-02,46,005,VTD-02,400.6,376.6,13.5,286.8,428.3,193.6,430.2,577.8,193.7,547,208.7,511.1,228,467.3,248.7,492.3,254.3,9.8,23
46005VTD-04,46,005,VTD-04,131.8,124.3,4.2,135.6,117.9,167.1,83.7,188.1,69,174.2,77.3,165.4,81.8,150.3,87.4,159.7,90.7,2.6,6.1
46005VTD-05,46,005,VTD-05,685.7,635.3,15.3,623.4,623.2,654.6,532.4,969.3,331.6,878.2,360.4,848.8,398.3,772.1,432.7,813.5,455.1,13.2,35.6
46005VTD-W2,46,005,VTD-W2,248.8,279.3,4.9,260.7,239,308.9,193.8,364.9,151.5,323.6,175.1,292.1,198.7,279.3,196.7,303,199.7,8.8,9.8
46005VTD-W3,46,005,VTD-W3,242,256,9,253,233,316,173,368,131,320,168,307,175,281,189,314,169,12,10
46005VTDW01,46,005,VTDW01,102.4,97.3,3.2,105.4,91.9,129.7,65.6,146.3,54,135.2,60.5,128.1,64.2,116.7,68.4,124.1,71,2.1,4.7
46005VTDW71,46,005,VTDW71,219.8,187.4,8.2,219.8,170.3,264,125.5,301.1,104.9,272.8,112,249.8,131.4,235.7,134.3,262.8,129.6,5.3,13.6
46005VTDW72,46,005,VTDW72,19.3,17.8,0.3,19.6,16,23.8,11.7,27.4,9.1,24,10.1,23.5,11.4,21.3,12.4,22.5,13.1,0.2,1.1
46005VTDW81,46,005,VTDW81,298.8,258.8,10,298.9,249.7,367,177.5,420.1,139.4,369,169.5,362,171.5,322.9,197.5,363,181.6,5,12
46005VTDW82,46,005,VTDW82,153.2,137.1,4.9,156.3,123.7,186.7,92,206.7,79.9,190.7,85.7,183.1,91.5,168.3,96,180.8,100,4.9,4.5
460070VTD-1,46,007,0VTD-1,48,180,3,54,166,62,160,51,165,54,161,49,167,55,165,66,139,6,8
460070VTD-4,46,007,0VTD-4,123.1,18.4,6,122.1,19.4,130.1,11.3,122.1,17.3,123.1,17.3,124.1,12.4,124.1,13.3,130.1,15.3,1,1
46007VTD-02,46,007,VTD-02,90.9,84.8,5.1,88.3,83.7,102.7,70.4,97.1,72.4,101.2,70.9,91.4,76,95,74,103.2,68.8,1.5,2.6
46007VTD-05,46,007,VTD-05,67.6,63,3.8,65.7,62.2,76.4,52.3,72.2,53.8,75.2,52.7,68,56.5,70.6,55,76.8,51.2,1.1,1.9
46007VTD-06,46,007,VTD-06,18.5,17.2,1,18,17,20.9,14.3,19.8,14.7,20.6,14.4,18.6,15.5,19.3,15.1,21,14,0.3,0.5
46007VTD-27,46,007,VTD-27,205,160,7,204,152,216,138,201,152,207,150,200,151,204,145,207,150,4,7
460090VTD-1,46,009,0VTD-1,308,214,11,328,188,390,116,343,144,360,132,378,113,362,123,366,150,6,8
460090VTD-2,46,009,0VTD-2,221.2,254.1,6,263.1,188.3,335.8,117.6,299.9,133.5,313.9,122.6,315.9,125.6,299.9,133.5,314.9,144.5,7,13.9
460090VTD-3,46,009,0VTD-3,246.8,400.9,8,312.9,310.7,386.2,225.4,325.1,256.5,342.1,260.4,349.1,232.4,328.1,244.5,351.1,262.5,11,16
460090VTD-4,46,009,0VTD-4,185,292,2,223,228,241,194,208,201,232,181,232,187,214,192,240,212,3,14
460090VTD-5,46,009,0VTD-5,342.6,247.9,9,377.7,196.8,428.8,144.7,405.7,144.8,410.7,150.7,408.8,141.6,402.8,145.7,402.8,171.7,8,10
460110VTD-1,46,011,0VTD-1,128.2,220,6.1,139.5,190.6,165.2,154.1,150.8,158.2,156,153.1,167.2,141.9,161.1,147,157,162.2,7.1,11.1
460110VTD-2,46,011,0VTD-2,209,445,10,228,386,270,312,247,320,256,310,275,288,263,297,257,330,10,17
460110VTD-3,46,011,0VTD-3,215,423,13,234,366,278,296,254,304,263,295,282,273,271,282,264,313,14,22
460110VTD-4,46,011,0VTD-4,499,808,20,544,700,645,567,589,581,610,564,655,522,629,540,613,598,21,35
460110VTD-5,46,011,0VTD-5,964,1271,34,1051,1101,1244,891,1136,913,1178,886,1264,822,1213,849,1184,941,37,60
460110VTD-6,46,011,0VTD-6,883,1014,32,963,879,1140,711,1041,729,1079,707,1158,656,1112,678,1085,751,34,56
460110VTD-8,46,011,0VTD-8,328,340,9,358,295,423,239,387,245,401,237,430,220,413,227,403,252,10,16
460110VTD-9,46,011,0VTD-9,311,300,9,339,260,401,211,366,216,379,209,407,194,391,201,381,222,10,17
46011VTD-10,46,011,VTD-10,297,229,8,324,198,383,160,350,164,363,159,389,148,374,153,365,169,8,14
46011VTD-11,46,011,VTD-11,277.5,306.5,14,303.5,265.5,358.4,215.6,327.4,220.6,339.4,213.6,364.4,198.7,350.4,204.6,341.4,227.6,14,24
46011VTD-12,46,011,VTD-12,140,82,2,153,71,181,58,165,59,171,57,184,53,176,55,172,61,2,3
46011VTD-13,46,011,VTD-13,119.2,107.5,2,130,92.9,153.5,75.3,139.8,77.2,145.6,75.3,156.4,69.4,149.6,72.3,146.6,79.2,2.9,3.9
46011VTD-14,46,011,VTD-14,572,555,15,623,481,738,389,674,399,698,387,750,359,719,371,702,411,16,27
46011VTD-15,46,011,VTD-15,74,98,2,81,85,95,69,87,70,90,68,97,63,93,65,91,72,2,4
46011VTD-16,46,011,VTD-16,208,173,7,227,150,269,121,245,124,255,121,273,112,262,115,256,128,8,12
