GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRROU,G20USSDAHL,G20HALRJOH,G20HALDLUA,G20PUCRHAN,G20PUCDEAG,G20PUCLSAX
460030VTD-1,46,003,0VTD-1,257,42,0,256,66,279,11,264,25,2
460030VTD-2,46,003,0VTD-2,132,12,0,126,22,132,8,131,6,0
460030VTD-3,46,003,0VTD-3,304,81,2,291,122,387,23,304,38,4
460030VTD-5,46,003,0VTD-5,133,52,0,132,62,170,13,133,28,0
460030VTD-7,46,003,0VTD-7,230,92,0,230,93,280,37,256,54,0
460050VTD-1,46,005,0VTD-1,297,109,3,302,107,333,43,302,71,7
46005VTD-01,46,005,VTD-01,715,211,9,742,203,840,64,737,130,9
46005VTD-02,46,005,VTD-02,684,187,0,685,187,762,68,683,103,11
46005VTD-04,46,005,VTD-04,218,85,2,220,81,248,38,221,56,10
46005VTD-05,46,005,VTD-05,1057,456,6,1115,419,1301,175,1148,249,44
46005VTD-W2,46,005,VTD-W2,357,229,13,402,204,432,140,354,179,44
46005VTD-W3,46,005,VTD-W3,342,217,20,368,207,442,104,374,151,23
46005VTDW01,46,005,VTDW01,172,63,1,175,63,190,27,174,41,4
46005VTDW71,46,005,VTDW71,321,146,16,347,126,412,50,350,91,16
46005VTDW72,46,005,VTDW72,29,13,0,31,13,35,5,31,9,0
46005VTDW81,46,005,VTDW81,396,248,12,447,213,556,72,472,148,24
46005VTDW82,46,005,VTDW82,228,99,4,239,89,278,40,249,49,12
460070VTD-1,46,007,0VTD-1,53,196,1,83,175,99,120,53,180,7
460070VTD-4,46,007,0VTD-4,151,13,0,147,13,150,8,136,12,1
46007VTD-02,46,007,VTD-02,110,74,4,116,70,134,41,102,68,9
46007VTD-05,46,007,VTD-05,83,55,3,86,53,98,30,75,51,6
46007VTD-06,46,007,VTD-06,23,15,1,23,14,27,9,21,14,2
46007VTD-27,46,007,VTD-27,273,109,3,274,109,292,74,245,106,9
460090VTD-1,46,009,0VTD-1,460,101,0,442,112,501,40,461,52,3
460090VTD-2,46,009,0VTD-2,380,110,0,375,119,447,48,375,76,14
460090VTD-3,46,009,0VTD-3,480,221,2,479,225,556,96,479,128,16
460090VTD-4,46,009,0VTD-4,396,147,0,376,200,460,66,380,107,10
460090VTD-5,46,009,0VTD-5,468,113,7,466,122,562,61,469,73,17
460110VTD-1,46,011,0VTD-1,313,269,23,348,252,421,123,333,195,38
460110VTD-2,46,011,0VTD-2,421,482,31,457,450,564,213,449,343,55
460110VTD-3,46,011,0VTD-3,417,490,38,454,457,554,215,437,348,69
460110VTD-4,46,011,0VTD-4,747,749,42,817,702,1000,340,792,541,73
460110VTD-5,46,011,0VTD-5,1447,1212,82,1589,1138,1941,557,1550,867,134
460110VTD-6,46,011,0VTD-6,1247,950,71,1372,894,1671,434,1325,681,112
460110VTD-8,46,011,0VTD-8,486,333,20,543,312,652,149,526,241,32
460110VTD-9,46,011,0VTD-9,468,233,10,511,220,623,96,498,158,23
46011VTD-10,46,011,VTD-10,402,178,7,435,166,537,76,425,125,16
46011VTD-11,46,011,VTD-11,461,301,22,497,278,611,124,485,208,34
46011VTD-12,46,011,VTD-12,194,73,1,218,69,265,30,201,51,4
46011VTD-13,46,011,VTD-13,158,89,1,168,86,210,35,166,64,4
46011VTD-14,46,011,VTD-14,794,497,23,885,468,1078,221,860,356,45
46011VTD-15,46,011,VTD-15,102,79,1,108,74,133,33,104,55,4
46011VTD-16,46,011,VTD-16,319,131,6,341,123,434,56,335,92,16
460130VTD-1,46,013,0VTD-1,812,504,29,855,483,1040,223,850,348,63
460130VTD-2,46,013,0VTD-2,399,318,18,420,305,514,136,416,223,33
460130VTD-3,46,013,0VTD-3,886,551,30,933,535,1144,232,925,376,69
460130VTD-4,46,013,0VTD-4,407,289,18,427,274,521,121,426,197,44
460130VTD-5,46,013,0VTD-5,278,243,21,297,236,362,107,295,170,38
460130VTD-6,46,013,0VTD-6,1286,672,42,1349,651,1667,298,1347,474,79
460130VTD-7,46,013,0VTD-7,1257,625,40,1321,596,1625,269,1316,427,84
460130VTD-8,46,013,0VTD-8,643,461,35,679,445,828,206,675,325,68
460130VTD-9,46,013,0VTD-9,534,287,18,563,277,689,122,561,197,38
46013VTD-10,46,013,VTD-10,266,207,19,278,199,344,89,278,140,33
46013VTD-11,46,013,VTD-11,377,288,18,395,279,490,126,394,206,36
46013VTD-12,46,013,VTD-12,624,259,12,657,248,806,108,654,173,28
46013VTD-13,46,013,VTD-13,221,137,2,229,132,290,56,229,98,6
46013VTD-14,46,013,VTD-14,138,122,0,146,116,176,44,146,77,1
46013VTD-15,46,013,VTD-15,701,269,7,731,262,889,111,731,189,29
46013VTD-16,46,013,VTD-16,269,121,4,285,117,346,47,283,84,13
46013VTD-17,46,013,VTD-17,378,244,2,398,236,481,106,397,169,10
46013VTD-18,46,013,VTD-18,142,109,0,145,103,169,41,145,65,3
46013VTD-19,46,013,VTD-19,639,408,2,673,393,819,161,672,280,25
46013VTD-20,46,013,VTD-20,78,65,0,81,64,101,26,81,42,3
46013VTD-21,46,013,VTD-21,116,128,0,125,126,148,52,125,88,1
46013VTD-22,46,013,VTD-22,122,119,1,131,114,158,47,131,76,2
460150VTD-2,46,015,0VTD-2,334,65,3,315,95,370,34,316,49,9
460150VTD-3,46,015,0VTD-3,416,100,3,410,128,465,48,430,63,7
460150VTD-5,46,015,0VTD-5,534,219,16,537,237,649,110,547,159,35
46015VTD-D2,46,015,VTD-D2,148,81,5,152,82,195,41,153,62,9
46015VTD-D3,46,015,VTD-D3,56,32,1,57,32,72,14,57,22,4
46015VTD-D4,46,015,VTD-D4,261,142,8,265,149,336,71,267,103,21
460170VTD-1,46,017,0VTD-1,109,84,2,107,87,135,52,111,74,2
460170VTD-2,46,017,0VTD-2,44,76,2,54,69,80,35,37,77,1
460170VTD-3,46,017,0VTD-3,29,181,7,54,163,87,109,25,181,7
460190VTD-6,46,019,0VTD-6,41,0,0,37,4,39,2,41,0,0
460190VTD-8,46,019,0VTD-8,30,4,0,30,6,30,4,28,4,1
46019VTD-11,46,019,VTD-11,64,8,0,65,8,62,6,59,6,4
46019VTD-12,46,019,VTD-12,93,12,0,85,14,85,11,84,11,0
46019VTD-13,46,019,VTD-13,117,14,1,115,19,117,16,108,14,3
46019VTD-14,46,019,VTD-14,322,42,5,319,59,321,51,304,41,19
46019VTD-16,46,019,VTD-16,691,143,11,693,152,711,116,654,116,33
46019VTD-17,46,019,VTD-17,342,58,5,336,64,355,36,323,38,20
46019VTD-18,46,019,VTD-18,88,20,10,96,24,92,24,85,18,11
46019VTD-20,46,019,VTD-20,198,40,2,195,47,195,46,180,40,14
46019VTD-21,46,019,VTD-21,178,78,4,192,77,209,43,165,62,22
46019VTD-22,46,019,VTD-22,152,63,7,165,60,168,48,133,59,20
46019VTD-23,46,019,VTD-23,174,53,7,182,51,183,45,169,38,16
46019VTD-24,46,019,VTD-24,250,89,18,262,90,283,58,244,68,25
