GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREISMI,G16PREIKEN,G16PREIFUE,G16PREOWRI
47001000001,47,001,000001,1070.08,201.71,28.26,4.43,6.13,0.87,1.77,3.49
47001000002,47,001,000002,242.23,41.87,4.98,0,1,0,2.99,0
47001000003,47,001,000003,1335.71,410.52,72.94,5.87,12.48,1.93,2.86,8.7
47001000004,47,001,000004,1332.88,392.34,53.78,5.07,8.13,0.02,2.04,8.08
47001000005,47,001,000005,1393.68,575.33,50.46,8.27,19.59,2.09,5.14,4.41
47001000006,47,001,000006,788.84,280.24,33.07,7.02,7,3.97,1.98,8.99
47001000007,47,001,000007,468.73,91.59,9.79,3.04,1.16,0.04,1.04,0.04
47001000008,47,001,000008,278.76,75.74,11.32,0.07,2.07,0.04,0.02,1.09
47001000009,47,001,000009,1015.01,877.58,86.38,18.65,14.72,2.94,0.98,17.67
47001000010,47,001,000010,543,117,12,1,6,0,1,2
47001000011,47,001,000011,1146.27,317.82,48.62,4.32,8.89,1.94,3.1,1.97
47001000012,47,001,000012,763,608,75,22,6,5,4,9
47001000013,47,001,000013,853.91,789.47,77.44,10.11,10.05,2.02,3,12.08
47001000014,47,001,000014,299,278,28,4,3,1,2,7
47001000015,47,001,000015,303.02,91,14,3,4,2,4,0
47001000016,47,001,000016,1214.59,249.45,18.09,3.99,7.98,1,2,3.98
47001000017,47,001,000017,505,111,13,0,1,1,3,3
47001000018,47,001,000018,539.58,368.73,35.73,7.15,2.76,0.13,3.05,0.51
47001000019,47,001,000019,835.78,251.62,31.03,10.1,11.22,3.06,2.05,2.08
47001000020,47,001,000020,918.71,269.24,40.34,10.07,9.07,1.01,5.05,5.08
47001000021,47,001,000021,322.18,518.07,32.81,6.96,0,1.99,0,3.98
47001000022,47,001,000022,748,606,84,22,8,2,5,4
47001000023,47,001,000023,492.32,430.77,45.66,9.93,8.93,1.99,6.95,10.92
47001000024,47,001,000024,53.75,27.12,0.02,0,1,0,2.01,0
47001000025,47,001,000025,657.48,172.68,29.26,1.95,6.83,1.95,0.98,2.93
47001000026,47,001,000026,689.94,535.17,65.26,12.12,3.73,1.86,1.86,11.19
47001000027,47,001,000027,350,286,28,7,3,2,6,10
47003000101,47,003,000101,987.56,237.56,27.29,4.11,2.03,1,2.03,0.02
47003000102,47,003,000102,790.76,212.13,41.83,7.97,2.99,1.99,1,0
47003000103,47,003,000103,1609.59,312.43,31.17,7.15,9.86,0,3.04,1.97
47003000104,47,003,000104,1451.95,285.06,31.53,8.87,1.98,1.97,0.99,4.92
47003000105,47,003,000105,1602.05,311.94,20.47,6.13,6.02,0.03,4.01,1.08
47003000106,47,003,000106,1315.05,271.59,31.98,5.02,5.99,1,1.01,0
47003000107,47,003,000107,663.46,146.63,17.11,4,3,0,0.02,4.98
47003000108,47,003,000108,480.04,363.2,23.37,7.76,1.96,0.01,3.87,0
47003000109,47,003,000109,836.5,444.43,33.97,7.99,3.99,1,1,0
47003000110,47,003,000110,727.05,414.29,15.57,5.75,1.12,0,1.93,0.04
47003000111,47,003,000111,1025.44,396.02,31.71,10.24,8.06,1,6.12,0
47005000201,47,005,000201,784,265,18,5,1,2,1,0
47005000202,47,005,000202,781.09,246.71,12.98,0,4.99,3,4,0
47005000203,47,005,000203,725.91,228.29,15.02,2,0.01,0,2,0
47005000204,47,005,000204,848.35,213.54,9.09,3.01,0,0,2.01,1
47005000205,47,005,000205,760,270,15,1,2,4,2,0
47005000206,47,005,000206,819,251,13,3,3,4,1,4
47007000301,47,007,000301,445,54,11,2,0,1,2,0
47007000302,47,007,000302,332.15,36.02,5,2,6,0,0,0
47007000303,47,007,000303,379,98,9,0,0,0,0,3
47007000304,47,007,000304,150,56,5,0,0,1,1,0
47007000305,47,007,000305,84,42,4,1,0,0,1,1
47007000306,47,007,000306,112,62,7,0,0,0,0,0
47007000307,47,007,000307,252.03,32.49,8.09,2,0,0,0,0
47007000308,47,007,000308,499,168,9,6,0,1,1,1
47007000309,47,007,000309,285,56,11,0,2,0,0,2
47007000310,47,007,000310,208.97,33.51,5.91,0,0,0,0,0
47007000311,47,007,000311,414,198,9,5,1,1,1,2
47007000312,47,007,000312,461,61,11,0,0,0,1,3
47009000401,47,009,000401,1020.85,335.95,34.99,6,11,6,2,9
