GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PREIWES,G20PREIBLA,G20PREIKEN,G20PREILAR,G20PREIFUE,G20USSRHAG,G20USSDBRA,G20USSIHOO,G20USSISTA,G20USSIMCL,G20USSIJAM,G20USSIHIL,G20USSIGRU,G20USSIHEN,G20USSIFAP
47001000001,47,001,000001,1360.13,272.6,11.44,1.75,0.01,0.88,1.75,0,0,1338.58,238.04,0.89,3.51,6.14,1.75,1.76,2.64,4.38,1.8
47001000002,47,001,000002,331.94,63.8,0,0,0,0,0,0,0,315.99,57.82,0,1,1,1.99,0,1,1.99,1
47001000003,47,001,000003,1616.29,548.57,27.85,2.92,1.01,2.89,0.95,0.96,0,1602.62,508.56,7.63,2.87,11.52,4.75,1,1.99,3.86,4.86
47001000004,47,001,000004,1653.94,526.87,22.3,3.02,6.01,5.05,5.01,0.01,0.01,1638.94,490.35,0.06,3.02,12.13,3.06,4.02,3.02,2.04,6.06
47001000005,47,001,000005,1625.12,672.85,19.32,2.14,5.05,6.14,0.05,1.05,0,1589.44,618.98,3.36,3.14,14.55,0.23,3.05,2.09,4.18,9.23
47001000006,47,001,000006,957.36,367.54,7.1,1.03,0.03,3.98,0,0,0.99,938.85,329.37,2.99,2.98,6.01,0.99,1.02,1.03,2.01,2.03
47001000007,47,001,000007,553.24,129.69,4.31,0.02,2.98,1.08,0.02,0.02,0.02,549.98,108.38,1.02,3.95,1.16,1.1,1.04,2.01,1.06,0.08
47001000008,47,001,000008,353.43,72.59,4.07,0.01,1,0.04,0,0,0.01,338.25,73.22,0.03,0.03,2.06,0.01,1.01,0.01,0.02,0.02
47001000009,47,001,000009,1057.22,1129.86,36.32,7.85,6.87,3.93,0,0.98,0,1123.97,1012.07,3.93,1.96,14.72,0.98,5.89,9.82,6.87,11.78
47001000010,47,001,000010,680,134,4,1,1,0,1,0,0,661,129,0,3,1,0,2,1,1,0
47001000011,47,001,000011,1436.86,405.95,19.08,1.04,1.07,4.91,1.04,0.97,0.98,1422.44,372.6,2.07,0.16,8.95,5.88,3.05,2.06,4.01,4.19
47001000012,47,001,000012,852,835,26,6,6,0,1,0,0,869,771,2,4,13,0,2,2,6,6
47001000013,47,001,000013,1011.5,976.08,28.26,1.04,3.06,5.01,1.01,2,3.99,1066.75,901.45,1.02,1.02,12.09,4.01,3.04,1.07,2.04,7.06
47001000014,47,001,000014,403,361,17,2,1,0,0,1,2,396,346,2,1,6,1,0,3,0,6
47001000015,47,001,000015,367.03,101,3,0,1,0,1,1,1,347.03,98,2,1,3,1,0,1,1,0
47001000016,47,001,000016,1511.58,296.47,11.99,1.99,4.96,1.02,1.99,0.01,1,1459.93,269.54,1.99,4.96,7.98,2.01,2.99,1,2,2.99
47001000017,47,001,000017,588,131,9,0,2,0,0,0,1,573,122,0,2,2,1,2,0,5,0
47001000018,47,001,000018,623.88,480.41,10.97,1.19,0.93,1.06,1.19,0,0,643.95,426.1,1.99,2.37,3.69,1.19,2.12,2.24,2.5,4.91
47001000019,47,001,000019,1049.72,347.77,15.23,4.03,2.07,2.08,1.05,0,0,1011,306.7,3.07,3.08,7.1,2.04,2.05,2.08,1.12,3.09
47001000020,47,001,000020,1159.43,353.51,14.08,2.04,3.02,2.03,1.04,0.01,0.01,1106.35,347.34,4.02,3.02,6.1,1.02,2.02,4.02,3.03,4.02
47001000021,47,001,000021,457.42,656.29,24.86,0,4.97,0.99,1.99,0,0,465.37,617.51,0.99,1.99,7.96,1.99,2.98,3.98,0.99,2.98
47001000022,47,001,000022,795,890,30,2,4,3,1,0,0,812,833,2,0,13,5,3,5,6,7
47001000023,47,001,000023,587.6,601.49,10.92,5.96,1.99,3.97,5.96,1.99,0.99,577.68,577.67,2.98,2.98,13.9,2.98,2.98,2.98,3.97,2.98
47001000024,47,001,000024,74.03,19.2,1,0,1,0,0,0,0,69.98,19.18,0,0,0,2.01,0,0,0.01,0
47001000025,47,001,000025,848.65,226.34,3.91,0.98,0.98,1.95,1.95,0,0,823.3,199.03,1.95,0.98,1.95,0,0.98,1.95,3.9,2.93
47001000026,47,001,000026,779.44,691.8,23.31,2.8,3.73,0.93,3.73,2.8,0,801.82,633.07,2.8,1.86,12.12,2.8,3.73,0.93,2.8,3.73
47001000027,47,001,000027,393,399,10,1,3,5,0,0,0,386,368,2,5,8,5,1,0,3,8
47003000101,47,003,000101,1255.03,314.98,10.28,2.06,3.04,1.07,3.01,0.02,0,1223.68,267.34,6.08,0.04,4.12,1.05,2.05,1.04,6.09,5.05
47003000102,47,003,000102,946.12,262.92,11.95,1,5.98,0,1,0,0,933.17,231.05,2.99,2.99,1.99,1.99,1,0,5.98,1.99
47003000103,47,003,000103,2028.07,433.97,15.46,4.11,2.06,1.16,0.05,1.03,0.98,1953.62,383.46,8.08,3.04,9.16,3.08,3.08,3.04,6.12,7.01
47003000104,47,003,000104,1866.12,402.33,17.73,1.97,1.97,2.97,0.98,0,1.97,1786.29,351.99,2.97,4.93,6.9,0.99,4.93,2.96,8.88,2.96
47003000105,47,003,000105,2009.88,394.67,10.27,2.03,2.03,6.03,0.02,0,0.03,1951.71,320.01,8.03,5.07,4.1,3.01,4.07,2.04,10.12,5.04
47003000106,47,003,000106,1532.01,311.09,7.02,2.01,3.01,4,0,0,1,1493.1,261.91,5,1,6.03,1.01,3.01,2.01,4,3.03
47003000107,47,003,000107,822.4,192.84,6.14,0.04,4.08,0.02,0.06,1.02,0.02,798.2,167.93,1.08,1.99,1.04,1.04,0,1,3.01,1.99
47003000108,47,003,000108,658.04,505.61,9.73,3.88,3.89,2.92,0,0.97,0.97,645.28,424.1,4.86,0.98,10.66,2.92,5.81,4.85,2.92,8.72
47003000109,47,003,000109,1027.44,572.27,23.97,2,7.99,3.99,1,2,2,1005.44,485.39,6,6.99,6.99,7.99,1,4.99,4,5
47003000110,47,003,000110,861.33,492.44,15.28,3.82,1.91,3.77,0.94,0.96,0.02,843.08,401.56,4.83,1.93,6.73,2.87,2.87,1.93,4.8,2.94
47003000111,47,003,000111,1352.83,570.35,27.29,1.12,9.12,6.09,2,0.03,1.03,1291.45,513.88,5.15,3.03,11.32,3.09,8.18,2.15,7.09,6.27
47005000201,47,005,000201,973,254,9,0,0,1,0,0,0,921,228,7,2,8,0,3,5,8,2
47005000202,47,005,000202,989.84,255.7,2,4,2,2,1,0,0,962.87,218.74,9.99,3,4.99,2,3,2,0,3
47005000203,47,005,000203,845.16,257.3,2,1,1,1,0,0,0,818.13,213.26,8.01,0,3.01,1,3,2,7,0
47005000204,47,005,000204,957.39,222.52,6.01,0.03,0.01,0,0,1,0,922.29,198.43,6.02,1.01,3.02,2,4,3,2.02,4
47005000205,47,005,000205,862,278,8,0,3,2,1,1,1,825,252,6,0,8,1,2,2,5,3
47005000206,47,005,000206,1043,262,8,1,2,2,1,0,0,1015,228,9,2,5,1,2,3,2,1
47007000301,47,007,000301,580,89,5,1,1,1,0,0,0,557,80,2,0,2,2,1,2,5,0
47007000302,47,007,000302,424.22,47.04,1,0,2,0,0,0,0,402.22,41.04,4,0,2,1,0,0,1,0
47007000303,47,007,000303,477,102,4,2,1,2,0,0,0,448,93,1,1,2,3,0,1,5,0
47007000304,47,007,000304,215,47,0,0,0,1,0,0,0,191,40,1,1,0,1,1,2,1,0
47007000305,47,007,000305,122,40,5,0,0,0,0,0,0,113,39,1,0,1,0,0,0,0,1
47007000306,47,007,000306,162,68,2,0,0,2,0,0,1,161,60,0,0,0,0,0,0,0,0
47007000307,47,007,000307,336.83,39.49,2.01,0,0,1,0,0,0,313.65,38.47,2,1,2,0.01,1,0.01,2,0
47007000308,47,007,000308,651,187,2,0,0,3,0,0,1,623,172,0,1,3,2,2,0,2,0
47007000309,47,007,000309,386,64,1,0,0,0,0,1,0,362,65,0,2,2,2,1,0,1,0
47007000310,47,007,000310,264.17,33.51,0.99,0,0,0,0,0,0,251.35,32.53,0,0,0,0.99,0,0.99,0,0
47007000311,47,007,000311,497,190,5,0,3,3,1,0,0,446,176,1,5,4,4,0,0,1,1
47007000312,47,007,000312,610,64,5,1,0,0,1,0,0,592,61,0,2,4,1,0,1,1,0
47009000401,47,009,000401,1320.81,483.93,4,0,1,3,1,0,2,1300.81,430.94,4,0,2,0,2,1,4,5
47009000402,47,009,000402,1941.47,433.28,15.05,0.02,5,4,1,0,1,1894.42,393.17,6.01,2.01,6.04,1,3.02,3.01,9.99,2.02
47009000403,47,009,000403,1725.24,740.93,37.29,1.96,7.85,9.81,0,0,2.94,1737.01,662.42,3.93,1.96,3.93,0.98,8.83,3.93,11.78,17.66
47009000404,47,009,000404,1397,909,40,2,5,6,1,0,0,1474,775,6,1,7,0,2,3,6,11
47009000405,47,009,000405,1644,424,28,1,2,3,1,0,2,1641,374,6,1,2,2,4,5,3,10
47009000406,47,009,000406,1227.7,580.12,30.02,4.01,4.02,1.02,0.01,0,1,1218.87,525.99,11.99,1,2.02,5.98,4.01,3,7,6
47009000407,47,009,000407,268.8,132.14,6.12,1.13,0.48,0.97,0.16,0.16,0.64,270.89,121.67,1.29,0.32,0.64,0.32,1.77,1.13,1.29,0.97
47009000408,47,009,000408,1867.3,974.29,38.42,8.1,10.05,5.09,3.04,0,2.02,1909.96,873.51,12.17,1.07,9.1,2.02,6.08,3.02,9.07,7.28
47009000409,47,009,000409,404.52,169.13,11.87,0.99,0,1.98,0,0.99,0,399.57,163.19,3.96,0,2.97,0.99,0.99,0.99,2.97,0.99
47009000410,47,009,000410,1395.98,686.78,31.8,5.85,2.51,5.02,0.84,0.84,3.35,1406.97,632.32,6.69,1.67,3.36,1.68,9.2,5.85,6.69,5.02
47009000411,47,009,000411,403.17,647.4,9.34,1.05,2.04,0.06,0,1.01,0.02,400.08,589.98,5.06,3.01,2.06,1.01,7.12,4.05,8.1,5.07
47009000412,47,009,000412,1419.29,472.39,20.53,4.88,2.93,3.92,1.95,0,0.98,1411.53,430.3,7.82,2.92,4.89,0.98,3.91,0.98,3.91,11.71
47009000413,47,009,000413,829.57,504.09,33.74,4.96,3.97,6.95,0,0.99,1.98,823.62,465.39,5.95,0,5.95,0.99,12.9,4.96,10.92,6.95
47009000414,47,009,000414,1467.3,798.79,39.59,4.95,3.96,5.94,0,1.98,0,1441.7,734.38,6.93,3.96,9.89,1.98,12.86,4.94,9.9,9.9
