GEOID20,STATEFP,COUNTYFP,DISTRICT,G16VR,G16SSVR,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16RRCRCHR,G16RRCDYAR,G16RRCLMIL,G16RRCGSAL,G16SSCRLEH,G16SSCDWES,G16SSCLGLA,G16SSCGMUN,G16SSCRGRE,G16SSCDGAR,G16SSCLOXF,G16SSCGWAT,G16SSCRGUZ,G16SSCDROB,G16SSCLFUL,G16SSCGCHI,G16SCCRKEE,G16SCCDMEY,G16SCCLASH,G16SCCGREP,G16SCCRWAL,G16SCCDJOH,G16SCCLSTR,G16SCCGSAN,G16SCCRKEA,G16SCCDBUR,G16SCCLBEN
48001000001,48,001,000001,1901.34,7.56,805.32,266.97,19.53,5.12,3.05,769.05,242.01,49.15,22.31,786.86,243.82,40.26,12.31,785.05,250.02,36.36,8.89,782.11,252.71,30.99,13.29,773.82,252.23,36.96,12.07,780.53,257.83,27.32,10.49,764.2,252.59,57.69
48001000002,48,001,000002,2417.23,3.84,1297.72,178.22,21.66,4.92,5.91,1181.54,198.89,63.02,15.75,1203.2,182.15,58.09,12.8,1219.94,175.26,50.22,14.77,1169.72,190.03,64.98,29.54,1169.72,201.85,68.92,11.82,1210.09,187.08,41.35,12.8,1186.46,180.18,77.78
48001000003,48,001,000003,1092.66,4.04,599.68,89.03,14.47,1.88,0.95,562.95,90.99,24.85,6.69,572.14,83.18,23.74,4.69,579.95,78.98,23.64,1.11,572.89,84.29,20.01,4.71,569.18,87.77,21.04,2.93,575.47,86.17,14.68,5.51,569.8,83.41,30.31
48001000004,48,001,000004,1525,2.6,869,96,17,2,1,804,112,31,9,814,102,34,6,826,96,28,4,806,109,35,4,810,105,34,5,807,109,31,6,787,111,54
48001000005,48,001,000005,285.78,2.51,182.34,9.18,2.07,0,0,162.2,11.24,8.07,1.01,168.18,9.24,7.08,0.02,169.2,9.23,5.08,1,165.16,10.22,8.08,1.03,162.18,14.24,7.09,0,166.25,12.2,4.04,1.01,163.17,12.24,8.08
48001000006,48,001,000006,1463.66,8.29,348.02,333.54,12,3,1,342.99,304.59,30.98,12.99,336.02,306.58,31.97,11,345.02,310.57,23.98,6,345,308.59,25.98,7,335.01,314.58,30.98,6,342.01,307.58,27.97,10,343,308.57,35.99
48001000007,48,001,000007,1399.15,16.91,129.64,452.24,3.05,3.01,2.01,124.53,420.24,11.11,20.03,119.58,419.23,12.08,22.02,120.6,436.25,15.06,4.01,128.56,426.25,18.07,5.02,120.56,431.26,12.08,11.01,124.6,423.25,9.05,15.02,120.56,434.24,20.11
48001000008,48,001,000008,348,16.7,49,98,2,1,0,42,94,7,2,44,89,9,2,48,92,5,2,45,91,10,0,41,94,9,1,42,96,5,1,42,94,9
48001000009,48,001,000009,1407.5,4.83,675.34,166.23,21.74,2.13,1.12,629.91,160.66,38.94,17.07,648.88,158.56,25.9,15.87,664.33,151.78,24.37,7.61,641.25,165.6,26.31,12.7,631.99,167.69,33.71,9.43,647.88,160.25,23.18,13.55,641.14,152.13,51.5
48001000010,48,001,000010,584.04,6.63,299.8,37.83,3.1,0.01,0,280.56,35.87,8.14,3.06,283.62,33.78,11.15,2.05,278.6,37.81,14.15,1.04,280.55,35.89,10.14,1.06,279.57,36.89,11.13,1.03,278.6,39.83,7.12,4.04,278.57,37.87,14.18
