GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREISTE,G16PREIMCM,G16PREOOTH,G16USSRLEE,G16USSDSNO,G16USSAFON,G16USSIBAR,G16GOVRHER,G16GOVDWEI,G16GOVLKAM,G16GOVASCH,G16ATGRREY,G16ATGDHAR,G16ATGLMCC,G16ATGAISB,G16AUDRDOU,G16AUDDMIT,G16AUDAGRE,G16TRERDAM,G16TREDHAN,G16TRECPRO
49001BEA4UN,49,001,BEA4UN,17.1,1.7,0.5,0,3.9,0,19.7,1.2,0.5,0.7,19.4,2.5,0.7,0,17,2.7,1.5,0.5,15.6,3.9,2,16,3.2,2.4
49001BEV1I-,49,001,BEV1I-,465.2,45.5,5.9,1,82.4,3,525.6,47.7,11.9,3,520.8,52.4,8.9,12.9,502.9,47.7,17.8,16.9,476.9,68.5,26.8,450.2,79.5,35.6
49001BEV2I-,49,001,BEV2I-,344.1,38.7,4.1,4,75.7,4.1,401.1,49,8.3,4.1,406.2,51.6,7.2,4.4,373.8,49.1,25.1,14.4,355,73.5,21.5,338.4,91.7,19.7
49001BEV3I-,49,001,BEV3I-,4.9,0.4,0,0,0.9,0,5.4,0.5,0.1,0,5.5,0.4,0.1,0.2,5.2,0.6,0.1,0.2,4.9,0.8,0.2,4.6,0.9,0.3
49001BEV3UE,49,001,BEV3UE,59.5,4.9,0.7,0,10.9,0.4,66.5,6.7,1.8,0.4,67,4.9,1.3,2.2,64.1,6.9,1.3,2.4,59.7,9.8,3.1,56.3,11.5,4
49001BEV3UN,49,001,BEV3UN,77.9,6.4,0.9,0,14.3,0.6,87.3,8.7,2.3,0.6,87.8,6.4,1.8,2.9,84,9.1,1.8,3.2,78.2,12.8,4.1,73.8,15.1,5.3
49001BEV3US,49,001,BEV3US,30.7,2.6,0.3,0,5.7,0.2,34.5,3.5,0.9,0.2,34.7,2.7,0.7,1.1,33.1,3.6,0.8,1.3,30.9,5.2,1.6,29.2,6.2,2
49001BEV3UW,49,001,BEV3UW,83.6,6.9,0.9,0,15.3,0.6,93.6,9.3,2.5,0.6,94.2,7,1.9,3.1,90.2,9.6,1.9,3.4,84,13.7,4.4,79.3,16.1,5.7
49001BEV4UE,49,001,BEV4UE,8.9,0.9,0.3,0,2,0,10.2,0.6,0.3,0.3,10.1,1.3,0.3,0,8.8,1.4,0.8,0.3,8.1,2,1.1,8.3,1.7,1.2
49001BEV4US,49,001,BEV4US,80.2,7.9,2.3,0,18,0,92,5.8,2.4,3,90.5,11.7,3,0.2,80,12.4,6.8,2.4,73.8,17.8,9.2,74.9,15,10.7
49001GRN1UN,49,001,GRN1UN,26.5,3.5,0,0.7,1.4,0,26.8,4.5,0,0,25.1,4.9,0.7,0.3,25.8,4.2,0,0,23.3,5.6,0,19.9,7,1.7
49001GRN1US,49,001,GRN1US,49.5,6.5,0,1.3,2.6,0,50.2,8.5,0,0,46.9,9.1,1.3,0.7,48.2,7.8,0,0,43.7,10.4,0,37.1,13,3.3
49001MIL1I-,49,001,MIL1I-,39,17.6,5.6,0,0.9,0,35.2,21.3,1.9,0.9,31.5,24.1,4.6,1.9,30.6,23.2,6.5,1.9,26.9,29.7,3.7,27.8,25,6.5
49001MIL2I-,49,001,MIL2I-,47.7,22,1.3,0.2,10,1.1,55,23.7,0.9,1.6,51.9,24.9,2.7,2.7,50.4,22.6,5.8,2.7,45.9,27.1,6.2,44.6,28.6,6.4
49001MIL2UN,49,001,MIL2UN,23.4,10.8,0.7,0.1,4.9,0.5,27,11.7,0.4,0.8,25.5,12.2,1.3,1.3,24.7,11.1,2.8,1.3,22.5,13.3,3,21.9,14,3.2
49001MIL2UW,49,001,MIL2UW,99.1,45.6,2.8,0.5,20.7,2.3,114.3,49.3,1.8,3.2,107.8,51.6,5.5,5.5,104.6,47,12,5.5,95.4,56.2,12.9,92.6,59.5,13.4
49001MIL2WW,49,001,MIL2WW,34.6,15.9,1,0.2,7.2,0.8,39.9,17.2,0.6,1.1,37.7,18,1.9,1.9,36.5,16.4,4.2,1.9,33.3,19.6,4.5,32.4,20.8,4.7
49001MIL3UE,49,001,MIL3UE,53,10.1,3.4,0.8,9.3,0,61.4,11.9,0.9,2.4,58.9,14.3,2.5,1.6,58.1,11.2,5,1.6,54.8,16.9,4,49.4,18.2,8.1
49001MIL3UN,49,001,MIL3UN,18.9,6.3,0.8,0.2,3.7,0.2,21.9,6.9,0.3,0.7,20.8,7.5,1,0.8,20.3,6.5,2,0.8,18.9,8.4,2,17.7,9,2.7
49001MIL3US,49,001,MIL3US,7.4,1.7,0.6,0.1,1.1,0,8.3,2,0.1,0.3,7.9,2.3,0.4,0.2,7.8,1.9,0.8,0.2,7.3,2.8,0.6,6.6,2.8,1.1
49001MNV1I-,49,001,MNV1I-,161.7,4.8,2.4,0.6,19.4,3.6,181.1,3,4.8,1.2,171.4,8.5,9.1,1.2,170.8,7.9,6.1,3,165.9,13.9,6.7,156.3,17.6,12.7
49001MNV1UE,49,001,MNV1UE,43.6,1.3,0.7,0.2,5.2,1,48.9,0.8,1.3,0.3,46.2,2.3,2.5,0.3,46.1,2.1,1.6,0.8,44.8,3.8,1.8,42.1,4.7,3.4
49001MNV1UW,49,001,MNV1UW,61.7,1.9,0.9,0.2,7.4,1.4,69.1,1.1,1.9,0.5,65.4,3.2,3.5,0.5,65.1,3,2.3,1.1,63.3,5.3,2.5,59.6,6.7,4.8
49003BC0001,49,003,BC0001,363,115,24,2,170,10,525,107,21,21,515,131,17,13,508,100,40,18,483,129,44,447,149,53
