GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRROM,G18USSDWIL,G18USSIMCC,G18USSLBOW,G18USSCAAL,G18USSOWRI
49001BEA4UN,49,001,BEA4UN,14.27,1.19,0.17,0.68,3.91,0
49001BEV1I-,49,001,BEV1I-,399.06,45.71,7.83,8.85,18.87,1.03
49001BEV2I-,49,001,BEV2I-,319.11,47.05,2.97,10.01,17.43,0.1
49001BEV3I-,49,001,BEV3I-,4.42,0.54,0,0.04,0.22,0.04
49001BEV3UE,49,001,BEV3UE,54.12,6.65,0,0.44,2.66,0.44
49001BEV3UN,49,001,BEV3UN,70.9,8.69,0.01,0.61,3.63,0.58
49001BEV3US,49,001,BEV3US,27.96,3.51,0.03,0.29,1.39,0.21
49001BEV3UW,49,001,BEV3UW,75.89,9.3,0.07,0.67,3.73,0.6
49001BEV4UE,49,001,BEV4UE,7.42,0.62,0.09,0.35,2.03,0
49001BEV4US,49,001,BEV4US,66.86,5.73,0.84,3.05,17.13,0.01
49001GRN1UN,49,001,GRN1UN,19.51,3.13,2.09,0.35,0.35,0.35
49001GRN1US,49,001,GRN1US,36.49,5.87,3.91,0.65,0.65,0.65
49001MIL1I-,49,001,MIL1I-,35.24,21.33,0,5.56,0,0
49001MIL2I-,49,001,MIL2I-,40.38,22.63,0.67,1.55,3.99,0.67
49001MIL2UN,49,001,MIL2UN,19.81,11.1,0.33,0.76,1.96,0.33
49001MIL2UW,49,001,MIL2UW,83.87,47.01,1.38,3.23,8.3,1.38
49001MIL2WW,49,001,MIL2WW,29.3,16.42,0.48,1.13,2.9,0.48
49001MIL3UE,49,001,MIL3UE,48.98,13.42,0.78,2.59,6.21,0.78
49001MIL3UN,49,001,MIL3UN,16.62,6.94,0.27,0.73,1.9,0.27
49001MIL3US,49,001,MIL3US,6.78,2.16,0.09,0.45,0.75,0.09
49001MNV1I-,49,001,MNV1I-,147.17,11.51,4.85,1.82,24.23,0.61
49001MNV1UE,49,001,MNV1UE,39.7,3.1,1.31,0.49,6.54,0.16
49001MNV1UW,49,001,MNV1UW,56.12,4.39,1.85,0.69,9.24,0.23
49003BC0001,49,003,BC0001,432,113,16,20,20,2
49003BC0002,49,003,BC0002,160.56,25.77,1.69,3.38,5.92,0.42
49003BC0003,49,003,BC0003,306,104,7,23,26,5
49003BC0004,49,003,BC0004,515.54,120.25,10.31,25.62,26.09,3.58
49003BC0005,49,003,BC0005,215,92,8,14,14,3
49003BC0006,49,003,BC0006,445.47,64.98,11.24,16.52,25.12,5.05
49003BC0007,49,003,BC0007,346.78,83.66,11,17.07,12.14,2.02
49003BC0008,49,003,BC0008,175,58,6,9,7,1
49003BC0009,49,003,BC0009,228,38,5,6,4,0
49003BC0010,49,003,BC0010,345.03,64.04,4.78,7.65,6.69,0
49003BC0011,49,003,BC0011,278,59,2,6,7,0
49003BC0012,49,003,BC0012,444,105,7,30,26,2
49003BC0013,49,003,BC0013,255,76,2,17,17,3
49003BC0014,49,003,BC0014,350.69,94.38,7.95,11.92,29.8,1.99
49003BC0015,49,003,BC0015,379,91,9,19,24,0
49003BC00UN,49,003,BC00UN,160.49,36.84,0.27,4.06,7.68,0.93
49003BDC000,49,003,BDC000,181.8,12.97,0.43,6.38,6.27,1.15
49003BEAR0E,49,003,BEAR0E,144.62,28.17,5.45,5.45,11.81,0
49003BEAR0I,49,003,BEAR0I,96.68,12.68,2.85,4.75,5.07,0.32
49003BEARUN,49,003,BEARUN,180.54,23.61,5.01,8.48,9.44,0.63
49003BEARUS,49,003,BEARUS,9.21,1.21,0.27,0.45,0.48,0.03
49003CC0000,49,003,CC0000,6,0,0,1,0,0
49003COR002,49,003,COR002,85,14,2,5,4,0
49003COR01I,49,003,COR01I,128.08,33.19,3.4,6.38,6.81,1.28
49003COR1UN,49,003,COR1UN,33.67,8.72,0.89,1.68,1.79,0.34
49003COR1US,49,003,COR1US,139.25,36.09,3.7,6.94,7.4,1.39
49003DEWY0I,49,003,DEWY0I,74.84,6.8,0.76,3.02,4.54,0
49003DEWY0U,49,003,DEWY0U,91.08,8.28,0.92,3.68,5.52,0
49003ELWD0I,49,003,ELWD0I,410.53,47.18,4.59,12.3,23.09,1.71
49003ELWD0U,49,003,ELWD0U,34.18,4.25,0.4,1.05,1.89,0.14
49003FLD01I,49,003,FLD01I,138.03,14,0,2,9,2
49003FLD2UE,49,003,FLD2UE,97.58,15.11,1.89,1.89,6.92,0
49003FLD2UW,49,003,FLD2UW,57.39,8.89,1.11,1.11,4.07,0
49003GAR01I,49,003,GAR01I,159.84,17.11,2.7,6.3,13.51,0.9
49003GAR02I,49,003,GAR02I,226.19,29.27,4.66,5.99,11.97,2.66
49003GAR02U,49,003,GAR02U,112.68,14.58,2.32,2.98,5.97,1.33
49003GAR0UE,49,003,GAR0UE,180.11,9.48,2.59,1.72,0.86,0.86
49003GAR1UE,49,003,GAR1UE,118.44,12.68,2,4.67,10.01,0.67
49003GAR1UN,49,003,GAR1UN,75.14,8.04,1.27,2.96,6.35,0.42
49003GC0000,49,003,GC0000,21.64,1.73,0,0.01,0,0
49003HONEYI,49,003,HONEYI,487.51,65.18,5.68,11.66,23.61,2.77
49003HONEYU,49,003,HONEYU,38.86,5.17,0.39,0.85,1.85,0.23
49003HOWL0I,49,003,HOWL0I,14.84,1.22,0.2,0.61,1.23,0
49003HOWLUE,49,003,HOWLUE,3.02,0.25,0.04,0.12,0.25,0
49003HOWLUN,49,003,HOWLUN,31.57,2.6,0.43,1.3,2.6,0
49003HOWLUW,49,003,HOWLUW,22.08,1.81,0.3,0.91,1.81,0
49003LAKE00,49,003,LAKE00,8.85,0.71,0,0.1,0.29,0.19
49003MANT0I,49,003,MANT0I,153.77,23.73,4.11,2.74,4.11,0.91
49003MANTUN,49,003,MANTUN,57.68,8.9,1.54,1.03,1.54,0.34
49003MANTUS,49,003,MANTUS,133.01,22.91,3.43,2.66,3.76,0.81
49003PARK00,49,003,PARK00,70.06,1,0,0.01,5,0
49003PER002,49,003,PER002,330.76,35.26,7.23,7.1,15.45,2
49003PER003,49,003,PER003,379.33,58.1,5.81,2.49,11.62,0
49003PER01I,49,003,PER01I,509.82,55.62,2.8,10.53,13.88,0.92
49003PER01U,49,003,PER01U,41.39,4.64,0.21,0.96,1.24,0.09
49003PER04I,49,003,PER04I,482.68,79.78,6.28,17.62,12.56,0.22
49003PER04U,49,003,PER04U,23.05,3.75,0.29,0.87,0.58,0
49003PLYM0I,49,003,PLYM0I,14.09,2.2,0.33,0.33,0.44,0.11
49003PLYMUC,49,003,PLYMUC,11.45,1.79,0.27,0.27,0.36,0.09
49003PLYMUE,49,003,PLYMUE,78.16,12.19,1.76,1.79,2.53,0.62
49003PLYMUW,49,003,PLYMUW,28.18,4.4,0.66,0.66,0.88,0.22
49003PORT0I,49,003,PORT0I,28.38,4.78,0.64,1.28,2.55,0
49003PORTUE,49,003,PORTUE,34.34,5.79,0.77,1.54,3.09,0
49003PORTUW,49,003,PORTUW,26.28,4.43,0.59,1.18,2.36,0
49003PROM00,49,003,PROM00,11.33,1.03,0,1,3.99,0
49003RIVER0,49,003,RIVER0,197,23,3,8,16,1
49003SNOW0I,49,003,SNOW0I,5.28,0.43,0,0.09,0.26,0.17
49003SNOWUN,49,003,SNOWUN,15.32,1.24,0.02,0.28,0.79,0.45
49003SNOWUS,49,003,SNOWUS,37.01,2.99,0,0.6,1.79,1.19
49003SWIL00,49,003,SWIL00,471.89,83.32,6.32,19.79,25.21,2.13
49003TRE003,49,003,TRE003,268.29,38.6,6.88,17.23,19.25,0.9
49003TRE004,49,003,TRE004,379.95,66.12,10.02,12.03,19.05,3.01
49003TRE005,49,003,TRE005,326.5,48.96,5.68,11.42,12.84,2.27
49003TRE02A,49,003,TRE02A,342.74,62.9,5.43,14.75,17.09,0.78
49003TRE02B,49,003,TRE02B,69.88,12.83,1.11,3.01,3.49,0.16
49003TRE0US,49,003,TRE0US,285.75,36.26,2.6,8.97,14.21,1.17
49003TRE0UW,49,003,TRE0UW,451.9,64.02,10.36,19.77,23.54,3.77
49003TRE1AI,49,003,TRE1AI,400.79,36.09,2.48,6.59,5.03,0.83
49003TRE1AU,49,003,TRE1AU,2.56,0.3,0.03,0.07,0.14,0.01
49003TRE1BI,49,003,TRE1BI,40.81,4.08,0.33,0.86,1.17,0.12
49003TRE1BU,49,003,TRE1BU,75.41,7.08,0.52,1.38,1.41,0.18
49003WLRD0I,49,003,WLRD0I,427.77,88.03,9.01,8.1,18.43,3.45
49003WLRD0U,49,003,WLRD0U,155.74,31.85,3.24,3.01,6.64,1.26
49003YOST00,49,003,YOST00,12.91,0,0,1.98,0,0
49005AMA0I0,49,005,AMA0I0,123.41,15.73,2.38,0.86,8.69,0
49005AMA0UE,49,005,AMA0UE,4.11,0.52,0.08,0.03,0.3,0
49005AMA0US,49,005,AMA0US,18.98,2.39,0.38,0.13,1.38,0
49005BEN000,49,005,BEN000,187.87,34.67,1.77,3.5,5.24,0
49005CLK00I,49,005,CLK00I,61.44,7.61,0.28,0.28,3.1,1.69
49005CLK0UE,49,005,CLK0UE,96.68,11.97,0.44,0.44,4.88,2.66
49005CLK0UW,49,005,CLK0UW,58.58,7.26,0.27,0.27,2.96,1.61
49005COR00I,49,005,COR00I,43.96,4.61,0.04,1.05,2.53,1.93
49005COR0UW,49,005,COR0UW,45.08,4.66,0,1.04,2.59,2.07
49005COV000,49,005,COV000,179.32,23.91,4.98,7.97,10.96,1.99
49005CY0000,49,005,CY0000,307.49,40.87,0,14.59,12.65,1.94
49005HYD001,49,005,HYD001,883.19,143.92,2.01,15.27,24.48,2.93
49005HYD02I,49,005,HYD02I,650.04,147.94,5.55,13.87,31.44,7.4
49005HYD2UE,49,005,HYD2UE,75.59,14.44,0.45,1.6,2.81,0.51
49005HYD2UW,49,005,HYD2UW,27.02,6.08,0.23,0.57,1.28,0.3
49005HYR01I,49,005,HYR01I,275,65.89,3.35,11.46,18.83,2.04
49005HYR01U,49,005,HYR01U,115.67,28.21,1.42,4.84,7.98,0.85
49005HYR02A,49,005,HYR02A,255.78,48.06,3.97,11.86,11.04,1.04
49005HYR02B,49,005,HYR02B,11.17,2.09,0.19,0.56,0.47,0.05
49005HYR03I,49,005,HYR03I,271.29,54.26,2.8,10.63,11.75,0.56
49005HYR03U,49,005,HYR03U,217.26,43.75,2.25,8.53,9.58,0.48
49005HYR04I,49,005,HYR04I,497.69,60.61,4.27,17.93,27.32,4.27
