GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRROM,G18USSDWIL,G18USSIMCC,G18USSLBOW,G18USSCAAL,G18USSOWRI
49001BEA4UN,49,001,BEA4UN,14.3,1.2,0.2,0.7,3.9,0
49001BEV1I-,49,001,BEV1I-,399.1,45.7,7.8,8.8,18.9,1
49001BEV2I-,49,001,BEV2I-,319.1,47,3,10,17.4,0.1
49001BEV3I-,49,001,BEV3I-,4.4,0.5,0,0,0.2,0
49001BEV3UE,49,001,BEV3UE,54.1,6.7,0,0.4,2.7,0.4
49001BEV3UN,49,001,BEV3UN,70.9,8.7,0,0.6,3.6,0.6
49001BEV3US,49,001,BEV3US,28,3.5,0,0.3,1.4,0.2
49001BEV3UW,49,001,BEV3UW,75.9,9.3,0.1,0.7,3.7,0.6
49001BEV4UE,49,001,BEV4UE,7.4,0.6,0.1,0.3,2,0
49001BEV4US,49,001,BEV4US,66.9,5.7,0.8,3,17.1,0
49001GRN1UN,49,001,GRN1UN,19.5,3.1,2.1,0.3,0.3,0.3
49001GRN1US,49,001,GRN1US,36.5,5.9,3.9,0.7,0.7,0.7
49001MIL1I-,49,001,MIL1I-,35.2,21.3,0,5.6,0,0
49001MIL2I-,49,001,MIL2I-,40.4,22.6,0.7,1.6,4,0.7
49001MIL2UN,49,001,MIL2UN,19.8,11.1,0.3,0.8,2,0.3
49001MIL2UW,49,001,MIL2UW,83.9,47,1.4,3.2,8.3,1.4
49001MIL2WW,49,001,MIL2WW,29.3,16.4,0.5,1.1,2.9,0.5
49001MIL3UE,49,001,MIL3UE,49,13.4,0.8,2.6,6.2,0.8
49001MIL3UN,49,001,MIL3UN,16.6,6.9,0.3,0.7,1.9,0.3
49001MIL3US,49,001,MIL3US,6.8,2.2,0.1,0.4,0.8,0.1
49001MNV1I-,49,001,MNV1I-,147.2,11.5,4.8,1.8,24.2,0.6
49001MNV1UE,49,001,MNV1UE,39.7,3.1,1.3,0.5,6.5,0.2
49001MNV1UW,49,001,MNV1UW,56.1,4.4,1.9,0.7,9.2,0.2
49003BC0001,49,003,BC0001,432,113,16,20,20,2
49003BC0002,49,003,BC0002,160.6,25.8,1.7,3.4,5.9,0.4
49003BC0003,49,003,BC0003,306,104,7,23,26,5
49003BC0004,49,003,BC0004,515.5,120.2,10.3,25.6,26.1,3.6
49003BC0005,49,003,BC0005,215,92,8,14,14,3
49003BC0006,49,003,BC0006,445.5,65,11.2,16.5,25.1,5
49003BC0007,49,003,BC0007,346.8,83.7,11,17.1,12.1,2
49003BC0008,49,003,BC0008,175,58,6,9,7,1
49003BC0009,49,003,BC0009,228,38,5,6,4,0
49003BC0010,49,003,BC0010,345,64,4.8,7.7,6.7,0
49003BC0011,49,003,BC0011,278,59,2,6,7,0
49003BC0012,49,003,BC0012,444,105,7,30,26,2
49003BC0013,49,003,BC0013,255,76,2,17,17,3
49003BC0014,49,003,BC0014,350.7,94.4,8,11.9,29.8,2
49003BC0015,49,003,BC0015,379,91,9,19,24,0
49003BC00UN,49,003,BC00UN,160.5,36.8,0.3,4.1,7.7,0.9
49003BDC000,49,003,BDC000,181.8,13,0.4,6.4,6.3,1.1
49003BEAR0E,49,003,BEAR0E,144.6,28.2,5.4,5.4,11.8,0
49003BEAR0I,49,003,BEAR0I,96.7,12.7,2.9,4.8,5.1,0.3
49003BEARUN,49,003,BEARUN,180.5,23.6,5,8.5,9.4,0.6
49003BEARUS,49,003,BEARUS,9.2,1.2,0.3,0.4,0.5,0
