GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDKAI,G18USSRSTE,G18USSLWAT,G18USSOWRI
51001000101,51,001,000101,556,994,17,0
51001000201,51,001,000201,181.68,458.2,10.98,0
51001000202,51,001,000202,316,577,8,1
51001000301,51,001,000301,588,477,11,0
51001000401,51,001,000401,117.4,268.76,3.88,0
51001000402,51,001,000402,274.4,391.67,8.11,0
51001000403,51,001,000403,48.6,133.24,0.12,0
51001000501,51,001,000501,342.32,192.8,4.02,1
51001000502,51,001,000502,356,104,0,1
51001000601,51,001,000601,490.44,519.98,11.82,0
51001000602,51,001,000602,34,182,2,0
51001000701,51,001,000701,867.22,817.4,20.08,4
51001000801,51,001,000801,257.03,338.19,3.18,1
51001000802,51,001,000802,407.68,326.94,8.97,0
51001000803,51,001,000803,177.43,304.19,11,0
51001000901,51,001,000901,983.23,519.82,14.85,0
51003000101,51,003,000101,1478.76,663.52,58.35,4.97
51003000103,51,003,000103,280.58,85.65,10.19,0.46
51003000104,51,003,000104,1608.27,483.06,44.76,1.62
51003000105,51,003,000105,2124.64,654.71,60.89,1.52
51003000106,51,003,000106,1544.85,869.4,65.03,4
51003000201,51,003,000201,1911.94,875.15,59.9,9.46
51003000202,51,003,000202,2195.37,337.54,83.38,7.05
51003000203,51,003,000203,1328.7,272.49,52.01,3.48
51003000301,51,003,000301,2099.2,867.91,57.74,7.35
51003000302,51,003,000302,1424.12,728.37,37.35,1.38
51003000304,51,003,000304,384.88,181.59,14.46,2.41
51003000305,51,003,000305,1471.75,529.36,38.14,2.41
51003000306,51,003,000306,769.73,447.89,23.23,2.06
51003000307,51,003,000307,830.34,443.84,32.78,2.65
51003000401,51,003,000401,526.05,542.23,22.17,0.03
51003000402,51,003,000402,525.4,469.89,15.87,1.01
51003000405,51,003,000405,1708.28,515.4,44.41,9.04
51003000406,51,003,000406,1140.73,996.27,40.57,5.93
51003000407,51,003,000407,1035.69,238.23,44.5,1.98
51003000501,51,003,000501,728.28,445.05,13.49,0.15
51003000502,51,003,000502,616.8,492.69,24.86,0
51003000503,51,003,000503,1115.45,478.78,36.7,0.95
51003000504,51,003,000504,1209.45,440.94,29.54,1.05
51003000506,51,003,000506,1405,910,47,6
51003000507,51,003,000507,758.27,324.97,16.6,1.43
51003000601,51,003,000601,1540.32,759.21,56.72,2.03
51003000602,51,003,000602,603.13,435.29,9.77,0.04
51003000603,51,003,000603,1210.04,901.37,38.32,4.58
51003000604,51,003,000604,1237.2,621.13,44.01,6
51003000606,51,003,000606,1081.23,508.43,44.31,3.35
51005005101,51,005,005101,142.58,339.85,3.91,0
