GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREIFUE,G16PREOLAR,G16PREOSAN,G16PREOWRI,G16USSDLEA,G16USSRMIL,G16USSOERI,G16USSITRU,G16USSODIA,G16USSOWRI,G16HALOWEL,G16HALOCLA,G16HALOWRI,G16GOVDMIN,G16GOVRSCO,G16GOVOLEE,G16GOVOWRI,G16LTGDZUC,G16LTGRBRO,G16LTGOWAR,G16LTGOWRI,G16TREOPEA,G16TREPSCH,G16TREONGO,G16TREOWRI,G16SOSOCON,G16SOSOHER,G16SOSOWRI,G16AUDDHOF,G16AUDRFEL,G16AUDOBRO,G16AUDOWRI,G16ATGDDON,G16ATGRBUC,G16ATGOJAC,G16ATGOWRI
50001500101,50,001,500101,318.25,330.95,46.16,7.86,0.98,0.98,44.19,11.79,348.69,383.99,10.8,12.77,5.89,0,619.75,86.42,7.86,192.54,567.64,10.8,0,256.37,483.19,15.71,0,594.2,69.74,30.44,0,628.58,63.84,0,280.92,419.35,25.53,0,426.27,301.5,15.71,0
50001500102,50,001,500102,285.04,271.37,23.43,7.81,2.93,0.98,0,47.83,300.66,313.35,14.64,3.9,4.88,7.81,526.15,67.36,3.9,199.14,431.46,9.76,0,230.37,387.54,7.81,0.98,490.03,48.81,37.09,0.98,520.29,62.47,0.98,254.78,319.2,18.55,0,354.35,244.04,5.86,0.98
50001500103,50,001,500103,1077.47,559.4,60.19,41.09,9.02,1.01,168.25,14.06,1142.58,667.71,56.07,38.06,17.05,1,1611.77,207.46,6,859.66,1024.76,49.11,1,986.1,872.26,45.07,0.01,1438.57,270.46,79.12,7.01,1587.73,204.42,5,1014.16,706.79,97.19,0,1269.93,526.3,76.08,0
50001500104,50,001,500104,520.15,149.01,22.09,14.1,3.03,1,21.48,12.05,540.42,189.19,14.14,2.1,4.07,0,673.85,33.68,2.02,385.11,350.63,12.18,1,443.78,279.93,6.11,1,598.46,71.71,11.23,0.01,649.93,43.53,0,445.76,231.39,17.32,0,533.71,162.79,14.19,0
50001500105,50,001,500105,900.79,505.88,61.7,21.33,3.08,2.03,94.82,33.28,982.14,599.97,30.24,7.26,10.18,1.99,1381.41,148.62,13.96,618.97,971.74,42.39,1,755.56,835.87,13.29,1.03,1282.75,146.66,57.44,4.02,1382.21,109.61,3.99,822.71,664.22,43.73,1.99,1087.34,479.58,26.31,1
50001500106,50,001,500106,78,31,6,3,0,0,5,0,75,41,3,4,2,0,106,11,0,66,53,6,0,72,48,1,0,87,21,7,0,96,13,0,70,39,6,0,75,36,5,0
50001500107,50,001,500107,82,29,3,6,1,0,0,27,98,36,9,3,1,0,132,9,1,82,61,2,1,87,49,4,1,107,22,6,0,120,15,0,93,38,7,0,103,24,7,0
50001500108,50,001,500108,75,54,6,4,1,0,18,1,84,64,4,4,0,1,123,25,1,58,97,4,0,75,70,8,0,107,19,19,0,120,25,0,84,54,9,0,102,44,8,0
50001500109,50,001,500109,199.08,189.9,13.76,4.59,2.75,0,33.94,7.34,236.69,193.57,9.17,6.42,5.5,0,373.39,43.12,0.92,139.45,304.58,8.26,1.83,181.65,247.7,12.84,0,344.03,44.04,16.51,0,364.21,44.04,0,192.66,205.5,16.51,0,250.45,163.3,17.43,0
50001500110,50,001,500110,494,188,22,27,3,0,46,11,531,210,22,20,6,1,691,57,3,430,330,25,1,492,273,9,1,583,117,26,0,664,56,0,481,223,27,0,558,168,26,0
