GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSISAN,G18USSRZUP,G18USSIPEA,G18USSIBES,G18USSIGIL,G18USSIADE,G18USSISVI,G18USSIBUS,G18USSOKAN,G18USSOWRI,G18HALDWEL,G18HALRTYN,G18HALIERI,G18HALOPOT,G18HALOWRI,G18GOVDHAL,G18GOVRSCO,G18GOVIBAR,G18GOVILAR,G18GOVIERI,G18GOVOMAR,G18GOVOPEY,G18GOVOWRI,G18LTGPZUC,G18LTGRTUR,G18LTGONGO,G18LTGOWRI,G18ATGDDON,G18ATGRWIL,G18ATGOJAC,G18ATGOWRI,G18SOSDCON,G18SOSRPAI,G18SOSOHER,G18SOSOWRI,G18TREDPEA,G18TRERMOR,G18TREOWRI,G18AUDDHOF,G18AUDRKEN,G18AUDOBRO,G18AUDOWRI
50001500101,50,001,500101,324.1,261.2,3.9,4.9,3.9,3.9,20.6,0,2,0,346.7,248.5,22.6,5.9,0,151.3,456.7,3.9,4.9,6.9,1,4.9,3,240.7,379.1,4.9,0,363.4,240.6,7.9,0,318.2,276.9,15.7,0,300.6,312.3,0,262.3,313.3,18.7,0
50001500102,50,001,500102,299.7,224.5,4.9,5.9,2,5.9,15.6,2.9,0,0,323.1,195.2,29.3,3.9,0,135.7,418.8,2,2,2.9,1,6.8,1,241.1,319.2,2.9,0,335.8,201.1,14.6,0,305.5,227.4,13.7,2,284.1,263.6,0,250.9,263.6,20.5,0
50001500103,50,001,500103,1174.6,446.2,13,18,7,14,27,4,7,0,1184.7,439.1,66.2,21,0,695.4,951.5,29,9,12,5,9,8,1004.1,675.9,27,1,1203.7,417.1,55.1,0,1139.5,483.2,60.1,0,1133.5,540.4,0,1019.2,549.4,63.2,2
50001500104,50,001,500104,546.3,136.6,4,1,0,5,6.1,1,1,2,552.4,127.5,18.1,2.1,1,337.5,349.4,4,3.1,0,6,4,1,490.6,202.4,6,0,546.4,124.4,16.1,0,526.1,145.7,16.1,0,518,153.9,0,481.8,161.9,14.2,1
50001500105,50,001,500105,922.5,446.1,11.1,9.1,7.1,15,14.2,3,2.1,3,954.7,424.9,31.8,16.1,0,501.1,896.8,9.2,4.2,10.1,7,4,2.1,766.5,653.7,9.1,1,986.9,405.8,22.4,1,914.1,470.3,27.5,0,909.9,496.9,0,827,498.8,44.6,0
50001500106,50,001,500106,75,19,0,0,2,0,9,1,0,0,79,26,5,0,0,57,51,3,0,0,0,0,0,70,36,4,0,82,22,4,0,77,28,4,0,72,35,0,67,35,4,0
50001500107,50,001,500107,109,20,0,1,1,0,1,1,0,0,107,17,5,1,0,62,58,5,0,0,1,2,0,98,26,3,0,99,18,8,0,99,21,7,0,107,20,0,93,22,9,0
50001500108,50,001,500108,97,36,1,0,1,3,1,0,2,0,87,41,11,1,0,43,86,5,2,2,0,0,1,80,53,4,0,92,39,7,0,82,46,8,0,86,50,0,78,51,6,0
50001500109,50,001,500109,200,145.9,2.8,7.3,0.9,0,1.8,0.9,0,0,211,129.3,13.8,4.6,0,91.7,247.7,4.6,8.3,4.6,1.8,0,0.9,175.2,178.9,4.6,0,208.2,131.2,10.1,0,193.6,152.3,7.3,0,189,162.4,0,169.7,163.3,11.9,0
50001500110,50,001,500110,558,163,7,4,6,6,9,1,1,0,571,162,12,7,0,396,340,3,3,7,3,3,0,515,235,7,0,570,152,13,0,560,172,11,0,557,180,0,517,199,15,0
50001500111,50,001,500111,2797,526,32,31,13,33,32,3,10,8,2879,489,74,39,1,1944,1453,22,19,16,18,13,16,2531,862,49,2,2792,505,99,2,2757,569,83,0,2745,643,2,2523,672,104,0
50001500112,50,001,500112,757,281,7,10,9,10,5,1,3,2,769,271,36,14,0,425,641,9,3,8,7,4,3,645,435,11,1,780,268,26,0,750,300,32,0,724,341,1,677,348,32,1
50001500113,50,001,500113,605,274.4,5.8,8.7,6.8,2.9,8.7,2.9,3.9,1,620.5,258.9,44.6,7.8,0,321.9,578.8,12.6,9.7,5.8,0,2.9,4.8,479,442.1,6.8,1,638,253.1,20.4,0,582.7,287,30.1,1,574.9,325.8,0,517.7,315.1,39.8,0
50001500114,50,001,500114,305,264,8,6,7,3,13,1,2,0,330,237,33,5,0,150,410,8,22,2,21,2,8,241,364,7,0,333,250,20,0,308,274,19,0,305,300,0,260,307,22,0
50001500115,50,001,500115,185.1,94.5,8,1,0,0,0,1,2,0,187.1,92.5,9,5,0,109.4,184.1,2,0,0,2,2,1,163.2,130.3,6,0,185.1,85.6,22.9,0,186.1,100.5,9,0,185.1,110.4,0,164.2,111.4,9,0
50001500116,50,001,500116,252,39,2,1,1,3,2,0,1,0,245,34,12,6,0,183,105,4,2,1,3,1,1,239,58,4,0,248,38,9,0,247,39,8,0,235,55,1,228,47,12,0
50001500117,50,001,500117,302.7,145.4,2,2,1,2,10.9,2,0,0,314.6,138.5,11.9,5.9,0,141.5,312.6,0,9.9,4,0,1,0,242.4,220.6,5,0,317.6,130.6,11.9,0,289.9,159.3,7.9,0,279,181.1,0,257.2,174.1,13.8,0
50001500118,50,001,500118,361,173,4,3,2,4,12,2,1,1,374,158,28,1,1,192,353,7,7,3,1,3,5,297,268,4,1,379,163,14,2,351,180,22,1,335,214,1,319,208,11,1
50001500119,50,001,500119,555.5,229.5,6,4.1,4,5,3,5,4,0,555.4,212.4,32.2,15.1,0,361.2,420.8,7,4,8.1,4,8,4,509.8,302.2,6,0,568.4,207.3,34.2,1,542.3,233.5,30.2,0,557.3,250.6,0,503.9,253.7,34.2,0
50001500120,50,001,500120,810.5,282.8,7.1,7,4,7,12.1,2,0,1,814.6,278.7,29.1,13.1,0,478.9,627.6,9,7,6,3,5,3,697.8,423.7,15,0,835.7,256.7,36.1,0,801.4,296.9,31.1,0,778.5,333,1,707.1,343.1,39.2,0
50001500121,50,001,500121,179.4,85.8,3.1,1.2,2.1,1.1,6.4,1,0.1,0,190.8,81.4,6.8,2.2,0,98.1,172.6,2.2,2.2,0.2,3,2.1,0.1,144.9,136.1,2.1,0,194.2,79.2,5.3,0,175.1,90.2,8.5,0,179.6,93.2,0,158.6,104,8.7,0
50001500122,50,001,500122,421.2,87.5,4.1,1.1,1,4.1,7.4,0.1,0,1,442.8,71.8,17.7,5.1,1,283.3,252.2,1,3,2.1,3,1.2,0,373.8,155.8,7.1,0,443.1,68.9,12.4,0,421.4,84.5,20.3,0,410.9,113.4,0,388,108.4,14.5,0
50001500123,50,001,500123,134,59.1,0.2,3.7,1.1,0,3.2,0.1,1,0,136,53.6,10.2,1.4,0,48.3,151.3,6.4,1.7,0.4,0.2,1,0.1,107.8,92.1,1.4,0,133.8,55.8,6.9,0,120.4,71.7,6.7,0,121,76.6,0,114.3,70.7,3.1,0
50003500301,50,003,500301,649,306,94,3,6,6,1,6,1,0,714,296,49,9,0,451,550,15,10,25,10,13,2,628,407,24,3,642,325,80,1,663,343,43,0,647,397,0,570,399,47,0
50003500302,50,003,500302,1609.8,583.8,257.5,8,25,14,4,15,12,3,1749.5,605.8,121.8,47.9,1,1207.6,1093.8,55.9,44.9,62.9,25,29.9,9,1547.9,860.3,66.9,3,1535.9,627.7,295.4,4,1627.7,665.6,140.7,0,1657.7,804.4,2,1451.1,815.4,130.7,2
50003500303,50,003,500303,1518.2,588.2,285.5,25,12.1,13,10,15,9,1,1625.5,594.2,151.2,59.1,2,1051.4,1149.2,60.1,46.1,67.1,24,37.1,16,1468.1,859.7,59.1,4,1391.1,642.3,345.6,0,1508.3,716.4,141.3,1,1546.3,817.6,1,1309.9,864.6,122.3,0
50003500304,50,003,500304,708,273,45,5,3,4,0,0,4,2,754,259,32,9,0,392,610,12,11,9,9,5,0,641,376,12,0,680,297,42,0,682,316,32,1,681,342,1,622,340,26,0
50003500305,50,003,500305,2,1,1,0,0,0,0,0,0,0,3,1,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,2,1,0,0,2,1,0,0,2,2,0,2,2,0,0
50003500306,50,003,500306,86,22.6,2.6,1.1,0,2.1,0,1.1,0.1,0,89.4,17.5,6.6,0.2,0,43.5,65.5,1.2,1,0.4,0.1,0.1,0.1,73.8,35.5,2.2,0,79,24.7,3.5,0,79.9,28.9,1.7,0,77,34.1,0,72.1,28.4,2.5,0
50003500307,50,003,500307,1319,604,96,17,12,11,5,2,9,2,1456,520,81,29,0,880,1122,24,15,25,15,14,1,1207,793,33,1,1306,590,111,2,1305,636,78,1,1304,709,0,1161,707,67,2
50003500308,50,003,500308,150.8,44.4,6,3,0,2,0,0,0,1,149.9,42.3,8.1,1,1,97.9,104.4,1,1,1,0,1,0,138.6,58.7,3,0,141.7,51.5,9.1,0,146.7,46.6,9,0,149.6,50.7,0,131.5,53.6,6,0
50003500309,50,003,500309,733,409,114,5,9,5,3,19,5,0,766,408,76,34,1,492,635,67,19,38,13,22,12,679,566,36,0,612,465,190,0,687,507,83,0,719,552,0,613,542,84,0
50003500310,50,003,500310,151,74,10,4,0,4,0,60,0,1,158,119,17,6,1,130,143,7,4,7,3,2,7,153,141,5,0,151,127,19,0,162,127,12,0,160,140,0,142,134,18,0
50003500311,50,003,500311,224,105,6,4,4,1,0,2,0,0,227,90,20,2,0,127,199,4,2,7,5,4,0,187,150,6,0,203,110,19,0,204,115,15,0,194,131,0,181,128,16,0
50003500312,50,003,500312,112,69,6,0,2,1,0,0,0,0,110,65,11,6,0,77,99,4,0,4,4,5,0,100,81,6,0,102,65,17,0,110,72,8,0,111,73,0,102,73,8,0
50003500313,50,003,500313,15,15,5,0,0,0,0,3,0,0,18,15,4,0,0,12,19,2,0,2,0,1,0,17,19,1,0,15,18,5,0,18,19,1,0,19,20,0,17,19,2,0
50003500314,50,003,500314,840,408,340,10,2,0,4,4,6,0,1008,475,74,21,2,631,815,56,13,28,10,20,11,887,652,29,2,868,509,164,1,940,535,76,1,932,613,0,804,639,64,1
50003500315,50,003,500315,182,131,13,3,1,1,1,40,2,0,189,158,14,4,0,127,209,13,4,5,4,2,3,159,198,9,0,165,165,33,0,175,156,30,0,183,178,0,156,180,12,0
50003500316,50,003,500316,293,131,30,1,1,2,1,1,2,0,313,121,18,6,0,191,240,8,3,8,2,3,4,276,164,11,1,278,139,31,0,285,143,20,0,269,171,0,269,153,17,0
50003500317,50,003,500317,301,121.6,8.3,3,1,4,2,1,4,0,299.1,128.3,13.2,9,0,183.8,237,8.1,4,5,6,4,1,274.9,153.9,12.1,0,270.4,138.7,22.8,0,279.3,142.5,14.1,0,280.4,152.5,0,254,142,22,2
50003500318,50,003,500318,86,28,22,0,3,0,1,2,0,0,103,28,5,5,0,61,67,7,0,3,4,0,0,94,42,2,0,87,39,13,0,89,33,12,0,91,44,0,72,50,9,0
50005050050,50,005,050050,880.8,723.7,16.1,15.1,18.1,12,6,7,6,0,933.9,659.6,56.2,27.1,2,441.8,1176.8,22.1,10,13,10.1,13.1,11,730,936.7,21.1,0,870.6,756.9,36.2,1,865.8,728.8,57.2,0,887.7,761,1,756.1,791,74.4,1
50005050501,50,005,050501,476.1,277.3,10.9,8.9,9.9,5,1,2,3,0,509.9,261.4,16.9,5,0,301.1,470.1,4,6,2,7,6,3,432.3,349.9,8.9,0,470.1,295.2,19.9,0,472.1,292.2,19.9,0,462.2,309.1,1,432.3,312.1,27.8,0
50005500501,50,005,500501,433.7,240.7,5.1,4,6.1,7.1,1.2,0,3,2,424,244.7,22.1,8,1,239.8,431.9,17,2,6,5,2,2,376.4,312.4,8,0,386.9,280.8,21.1,1,401.8,262.8,21.1,0,391.8,288.9,2,352.6,278.8,41.1,0
50005500503,50,005,500503,647.7,412.5,8,9.9,14.9,6,1,4,5,0,706.3,367.9,35.7,13.9,0,349.1,745.8,9.9,7,4,7,5,1,549.6,554.3,11.9,1,664.6,408.5,21.9,1,685.5,400.6,17.9,0,676.6,414.5,0,627.8,427.4,26.9,0
50005500504,50,005,500504,203,176,3,4,17,0,1,0,2,0,209,170,20,9,0,96,289,7,5,3,2,5,2,160,239,5,0,197,184,14,0,182,201,16,0,200,188,1,161,207,18,0
50005500505,50,005,500505,720.7,354.9,10.9,6,22.8,1,5,5,6.9,4,735.5,340,43.6,12.9,3,411.4,674.1,13.9,11.9,8.9,6,2,6,587.9,527.4,15.9,0,721.7,359.9,35.7,0,723.7,361.8,33.7,0,715.7,386.6,0,616.6,408.4,55.5,1
50005500506,50,005,500506,135.8,84,2.9,0,2.9,2.9,8.8,0,0,0,148.5,82.1,3.9,2,0,89.9,143.6,2,1,0,1,2,2,119.2,116.2,1,0,141.7,87.9,4.9,0,137.8,87.9,6.8,0,137.8,93.8,1,129.9,90.9,8.8,0
