GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREIWES,G20PREOOTH,G20PREOSAN,G20PREOWRI,G20HALDWEL,G20HALDRBE,G20HALCHEL,G20HALIBEC,G20HALIHOR,G20HALIORR,G20HALITRU,G20HALOWRI,G20GOVDZUC,G20GOVRSCO,G20GOVIHOY,G20GOVTPEY,G20GOVIWHI,G20GOVIBIL,G20GOVIDEV,G20GOVUDIC,G20GOVOWRI,G20LTGDGRA,G20LTGRMIL,G20LTGPERI,G20LTGIBIL,G20LTGBCOR,G20LTGOWRI,G20ATGDDON,G20ATGRPAI,G20ATGPERI,G20ATGOWRI,G20SOSDCON,G20SOSRPAI,G20SOSPERI,G20SOSISMI,G20SOSOWRI,G20TREDPEA,G20TRERBRA,G20TREPERI,G20TREIWRI,G20TREOWRI,G20AUDOHOF,G20AUDPERI,G20AUDOWRI
50001500101,50,001,500101,437.09,372.2,14.73,1.96,5.89,18.66,0.98,2.95,453.78,329.97,6.88,20.62,6.87,1.96,8.84,2.95,142.43,667.84,6.87,7.86,6.87,1.96,0.98,6.87,4.91,315.31,504.78,4.91,5.89,1.96,0.98,491.1,311.31,24.55,0,416.46,350.59,15.72,42.23,0,365.39,396.75,19.64,32.41,0,654.11,100.18,8.84
50001500102,50,001,500102,382.65,313.35,7.81,1.95,0.98,6.83,2.93,3.9,407.06,244.04,2.93,33.19,2.93,1.95,1.95,0.98,131.78,563.24,4.88,4.88,2.93,0,3.9,0,9.76,281.13,406.08,6.83,5.86,0,2.93,400.23,261.61,20.5,0,350.44,287.97,11.71,38.07,0,303.59,310.42,30.26,31.24,0,536.89,78.09,3.9
50001500103,50,001,500103,1485.05,692.65,22.05,8,3.02,21.07,6,12.04,1490.04,588.49,14.05,38.1,27.03,7.02,21.05,0,625.97,1545.75,10.05,25.03,11,9.01,2.01,5,7.02,1148.27,962.36,44.07,30.06,10.03,7.01,1493.1,557.39,110.16,6,1309.74,605.54,79.1,163.3,0.01,1233.65,678.68,102.15,124.2,1.01,1665.86,337.5,9.04
50001500104,50,001,500104,667.19,147.75,12.09,4,3.01,13.14,2.02,8.01,651.65,157.1,8.02,15.17,5.06,4.02,3,0.02,269.68,571.35,2.02,6.04,2.02,1.02,0.02,0.02,2.04,545.24,264.67,20.09,5.1,2.01,2.01,650.54,147.12,24.18,0.01,622.95,160.36,16.16,29.43,0,588.65,178.61,20.14,22.38,0,676.3,79,2.02
50001500105,50,001,500105,1212.83,566.92,22.16,9,4.07,15.25,5.99,11.14,1225.78,529.27,11.21,23.38,14.13,5.1,13.19,0.02,452.42,1339.4,11.16,8.14,4.01,4.04,1.04,7.99,4.08,917,849.48,32.26,16.22,4.11,5.02,1256.89,476.92,52.7,0.02,1153.63,527.45,35.36,74.16,4.02,1043.43,597.97,59.53,68.75,0.03,1465.75,190.85,4.17
50001500106,50,001,500106,90,34,0,0,0,1,0,1,92,31,1,2,0,0,0,0,48,76,2,1,1,0,0,1,0,74,48,3,2,2,0,86,31,10,0,80,34,10,3,0,77,40,8,2,0,89,25,1
50001500107,50,001,500107,136,30,0,1,0,2,0,0,136,17,2,8,1,1,0,0,57,106,0,0,0,0,0,0,1,106,51,3,2,1,0,127,26,9,0,116,26,6,13,0,113,29,14,4,0,126,31,0
50001500108,50,001,500108,102,57,3,1,1,4,2,1,114,43,2,3,2,1,2,0,49,119,1,0,1,0,0,0,1,84,78,2,1,1,0,110,48,5,0,95,51,6,9,0,90,56,7,9,0,119,25,0
50001500109,50,001,500109,271.55,211,7.34,0,0.92,4.59,0,1.83,283.48,177.06,1.83,17.43,2.75,0,4.59,0.92,95.41,368.8,7.34,6.42,2.75,3.67,0.92,3.67,6.42,209.17,272.47,1.83,6.42,0,0,296.32,167.89,20.18,0,249.53,188.99,14.68,27.52,0,237.61,200.91,14.68,23.85,0,357.79,71.56,3.67
50001500110,50,001,500110,723,211,8,2,3,8,3,1,714,187,3,9,12,2,8,0,350,573,1,11,3,4,1,1,1,594,308,15,7,8,1,702,167,38,0,645,202,30,47,0,634,213,31,37,0,740,117,3
50001500111,50,001,500111,3479,732,39,16,11,39,3,12,3345,670,63,62,25,8,19,8,1625,2545,18,37,8,9,9,12,9,2776,1267,86,31,29,6,3249,657,164,11,3114,686,127,181,4,2934,834,165,134,5,3316,490,16
50001500112,50,001,500112,960,395,18,2,4,11,0,13,955,352,9,15,13,1,18,1,358,1010,4,8,5,3,3,3,6,721,601,24,15,9,10,962,329,53,4,879,361,36,82,0,791,419,56,73,0,1077,152,10
50001500113,50,001,500113,709.71,383.93,11.63,0.97,3.88,16.48,0,9.69,707.78,348.06,12.6,23.27,7.76,5.82,12.6,0.97,224.95,873.55,10.66,7.76,0.97,2.91,1.94,0.97,4.85,529.37,549.73,17.45,13.57,6.79,1.94,721.34,324.78,36.86,0.97,637.97,358.72,22.3,68.84,1.94,617.61,391.69,34.9,45.57,1.94,898.78,117.32,9.69
50001500114,50,001,500114,367,351,7,3,2,18,1,3,375,278,3,49,9,5,2,2,111,593,12,10,4,3,3,1,5,250,453,7,14,5,1,401,289,21,0,351,297,16,52,0,315,337,18,48,0,570,92,2
50001500115,50,001,500115,269.65,136.32,4.98,0,2.99,2.99,0,1,270.65,119.4,3.98,8.96,2.99,0,2.99,0,95.52,305.47,2.99,1,3.98,1.99,1,1,1.99,196.02,195.02,7.96,6.97,1.99,0,272.64,113.43,17.91,0,238.81,124.38,9.95,33.83,0,225.87,134.33,14.93,28.86,0,320.4,55.72,1.99
50001500116,50,001,500116,280,76,4,3,2,1,3,0,279,53,4,13,2,0,3,0,165,189,0,3,1,1,0,1,1,246,94,7,2,3,2,271,57,17,1,252,62,13,16,0,250,64,9,12,0,263,53,1
50001500117,50,001,500117,388.81,255.25,7.91,0,0.99,12.86,1.98,0.99,432.35,194.9,1.98,15.83,5.94,1.98,0,1.98,156.32,496.65,1.98,3.96,1.98,1.98,1.98,1.98,3.96,300.76,341.33,7.91,8.9,0.99,0.99,421.46,196.88,16.82,0.99,367.05,219.64,14.84,39.57,0,339.35,242.39,12.86,35.62,0,492.7,93,1.98
50001500118,50,001,500118,445,263,11,6,3,10,1,3,461,205,6,29,5,1,4,1,185,527,10,6,3,5,0,0,2,331,362,11,15,2,0,453,205,32,1,400,219,22,51,0,378,240,34,32,0,528,95,7
