GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PRECBLA,G20PREICAR,G20PREOHAW,G20PREOWES,G20PREOLAR,G20PREOCHA,G20PREOSIM,G20PREOWEL,G20PREOBOD,G20PREOWRI
55001000001,55,001,000001,108.87,153.82,3,1,0,0,0,0,0,0,0,0,1
55001000002,55,001,000002,106,151,2,0,0,0,0,0,0,0,0,0,0
55001000003,55,001,000003,48,68,1,0,0,0,0,0,0,0,0,0,0
55001000004,55,001,000004,59,85,1,0,0,0,0,0,0,0,0,0,0
55001000005,55,001,000005,179.04,315.09,7.91,0,0,0,0,0,0,0,0,0,0
55001000006,55,001,000006,66.62,117.3,3.05,0.99,0,0,0.99,0,0,0,0,0,0
55001000007,55,001,000007,21,38,0,0,0,0,0,0,0,0,0,0,0
55001000008,55,001,000008,63.59,120.23,2.98,0.99,0,0,0,0,0,0,0,0,0
55001000009,55,001,000009,124.59,234.34,5.93,3.96,0.99,0,0,0,0,0,0,0,1.98
55001000010,55,001,000010,42.73,94.06,0.02,1.93,0,0,0,0,0,0,0,0,0
55001000011,55,001,000011,93,163,1,1,0,0,0,0,0,0,0,0,0
55001000012,55,001,000012,41,72,0,0,0,0,0,0,0,0,0,0,0
55001000013,55,001,000013,100,203,2,3,0,0,0,0,0,0,0,0,1
55001000014,55,001,000014,84,174,1,1,0,0,0,0,0,0,0,0,0
55001000015,55,001,000015,111.23,170.44,3.94,0.01,0,0,0.01,0,0,0,0,0,0
55001000016,55,001,000016,128.89,199.82,3,0,0,0,0,0,0,0,0,0,2
55001000017,55,001,000017,133,206,2,0,0,0,0,0,0,0,0,0,1
55001000018,55,001,000018,36.71,135.76,1,0.08,0,0,0,0,0,0,0,0,0
55001000019,55,001,000019,70.97,139.95,0,2,0,0,0,0,0,0,0,0,0
55001000020,55,001,000020,118.52,168.06,0,0,0,0,0,0,0,0,0,0,0
55001000021,55,001,000021,36.11,72.18,0,0,0,0,0,0,0,0,0,0,0
55001000022,55,001,000022,34,69,1,1,0,1,0,0,0,0,0,0,0
55001000023,55,001,000023,104,210,3,1,0,0,0,0,0,0,0,0,0
55001000024,55,001,000024,168.09,243.16,4,0,0,0,0,0,0,0,0,0,1
55001000025,55,001,000025,216.41,368.65,4.07,0.04,0.01,0,0,0,0,0,0,0,0.02
55001000026,55,001,000026,75.98,127.96,2,1,0,0,0,0,0,0,0,0,0
55001000027,55,001,000027,248.18,352.19,4.09,0,1.01,0,0,0,0,0,0,0,0.01
55001000028,55,001,000028,40.97,58.48,0.09,0,0,0,0,0,0,0,0,0,0
55001000029,55,001,000029,23.06,33.62,0,0,0,0,0,0,0,0,0,0,0
55001000030,55,001,000030,27.05,75.09,1,1,0,0,0,0,0,0,0,0,0
55001000031,55,001,000031,155.47,253.51,1.98,0.99,0,0,0,0,0,0,0,0,0.99
55001000032,55,001,000032,168,276,1,1,0,0,0,0,0,0,0,0,0
55001000033,55,001,000033,179.5,292.44,3.02,1.01,0,0,0,0,0,0,0,0,0.01
55001000034,55,001,000034,145,238,2,1,0,0,0,0,0,0,0,0,0
55001000035,55,001,000035,205.01,339.32,2.12,0,0.01,0,0,0,0,0,0,0,0
55001000036,55,001,000036,92.43,172.78,3.85,0.96,0.96,0,0,0,0,0,0,0,0
55001000037,55,001,000037,170.4,323.04,6.82,0.97,0,0,0,0,0,0,0,0,0
55001000038,55,001,000038,29.15,48.57,0.09,0,0.01,0,0,0,0,0,0,0,0.01
55001000039,55,001,000039,16.14,25.78,0.15,0.05,0.05,0,0,0,0,0,0,0,0.05
55001000040,55,001,000040,1.82,3.22,0,0,0,0,0,0,0,0,0,0,0
55001000041,55,001,000041,3.05,5.39,0.03,0,0,0,0,0,0,0,0,0,0
55001000042,55,001,000042,120.16,194.28,1.01,1,0,0,0,0,0,0,0,0,1
55001000043,55,001,000043,118.95,194.3,1,0,0,0,0,0,0,0,0,0,0
55001000044,55,001,000044,211.11,370.06,1.92,0.04,0.04,0,0,0,0,0,0,0,0.04
55003000045,55,003,000045,63.66,186.81,0.98,0,0,0,0,0,0,0,0,0,0
55003000046,55,003,000046,267.66,159.35,5.17,1,1,0,0,0,0,0,0,0,0
55003000047,55,003,000047,219.12,130.62,3.44,0,0,0,0,0,0,0,0,0,0
55003000048,55,003,000048,249,147,5,1,1,0,0,0,0,0,0,0,1
55003000049,55,003,000049,250,149,5,1,1,0,0,0,0,0,0,0,1
55003000050,55,003,000050,248,148,5,1,1,1,0,0,0,0,0,0,1
55003000051,55,003,000051,242.33,134.48,4.18,0.95,0.95,0.95,0.95,0,0,0,0,0,0.95
55003000052,55,003,000052,228,126,4,1,1,1,0,0,0,0,0,0,1
55003000053,55,003,000053,242,133,3,1,1,1,0,0,0,0,0,0,1
55003000054,55,003,000054,229.95,125.69,2.92,0.97,0.97,0.97,0,0,0,0,0,0,0.97
55003000055,55,003,000055,239.64,131.53,3.06,0.02,0.02,0.02,0,0,0,0,0,0,0.02
55003000056,55,003,000056,230.16,125.54,2.99,0,1,1,0,0,0,0,0,0,0
55003000057,55,003,000057,155.41,162.35,0.02,0.02,0,0,0,0,0,0,0,0,3
55003000058,55,003,000058,14,20,0,0,0,0,0,0,0,0,0,0,0
55003000059,55,003,000059,59.82,89.72,0,0,0,0,0,0,0,0,0,0,0
55003000060,55,003,000060,74.91,146.89,1,0,0,0,0,0,0,0,0,0,0
55003000061,55,003,000061,239.84,254.46,5.01,1,1,0,0,0,0,0,0,0,2
55003000062,55,003,000062,14.98,26.31,0,0,0,0,0,0,0,0,0,0,0.01
55003000063,55,003,000063,50.61,84.04,2.86,0,0,0,0,0,0,0,0,0,0
55003000064,55,003,000064,116.5,249.92,2,0,0,0,0,0,0,0,0,0,0
55003000065,55,003,000065,287.9,61.99,5.51,0,0,0,0,0,0,0,0,0,1.11
55003000066,55,003,000066,69.48,93.71,1.27,0.08,0,0.02,0,0,0,0,0,0,0
55003000067,55,003,000067,61,62,2,0,1,0,0,0,0,0,0,0,1
55003000068,55,003,000068,169.59,166.65,0.98,0.98,0,0,0,0,0,0,0,0,0
55003000069,55,003,000069,120.37,133.62,1.02,0,0,0,0,0,0,0,0,0,0
55003000070,55,003,000070,26,29,1,1,0,0,0,0,0,0,0,0,0
55003000071,55,003,000071,12,13,0,0,0,0,0,0,0,0,0,0,0
55003000072,55,003,000072,13.26,25.58,0,0,0,0,0,0,0,0,0,0,0
