GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREMHAW,G20USSRCAP,G20USSDSWE,G20USSLMOR,G20GOVRJUS,G20GOVDSAL,G20GOVLKOL,G20GOVMLUT,G20SOSRWAR,G20SOSDTEN,G20AUDRMCC,G20AUDDCLA,G20TRERMOO,G20TREDPER,G20AGRRLEO,G20AGRDBEA,G20ATGRMOR,G20ATGDPET
54001000001,54,001,000001,205,42,0,0,199,37,2,181,42,10,0,157,82,179,45,153,75,177,53,175,55
54001000002,54,001,000002,489,109,2,0,480,98,8,451,115,20,1,380,207,445,124,384,191,437,142,430,156
54001000003,54,001,000003,427,109,0,0,409,112,11,399,111,12,1,322,209,377,134,330,195,371,147,361,166
54001000004,54,001,000004,642,147,5,1,633,140,17,591,149,26,2,496,272,589,167,506,254,571,181,565,205
54001000007,54,001,000007,346,167,6,0,370,128,13,326,149,21,6,277,242,321,167,259,238,313,167,322,181
54001000008,54,001,000008,516,135,2,0,535,109,11,488,123,17,1,405,230,468,147,369,254,465,158,447,187
54001000009,54,001,000009,198,68,0,0,183,68,9,169,76,9,3,161,94,174,74,161,91,181,68,179,82
54001000010,54,001,000010,249,50,0,0,252,47,5,228,57,11,1,205,95,228,59,206,88,224,71,224,77
54001000011,54,001,000011,104,40,0,0,106,36,3,104,35,2,0,88,60,99,40,83,60,93,48,93,50
54001000012,54,001,000012,415,98,1,0,412,85,5,380,81,33,0,346,154,380,98,310,180,365,118,379,122
54001000013,54,001,000013,300,93,1,0,305,81,9,278,93,9,2,241,155,282,98,229,159,269,109,257,126
54001000014,54,001,000014,307,97,1,0,312,85,12,286,97,15,4,247,155,287,105,230,161,272,113,264,133
54001000015,54,001,000015,110,43,1,0,111,37,4,111,36,3,1,90,62,107,43,89,62,97,53,97,55
54001000016,54,001,000016,145,59,2,0,147,52,6,146,51,6,2,120,82,140,60,119,81,127,67,126,70
5400100005a,54,001,00005a,480,130,7,0,480,122,16,465,121,22,0,390,226,441,147,374,234,436,168,423,186
5400100006A,54,001,00006A,181,61,1,4,164,73,8,168,67,6,1,134,104,149,78,123,110,142,85,132,104
54003000001,54,003,000001,247,197,6,0,273,160,12,214,172,13,21,231,215,252,189,249,193,233,204,267,180
54003000002,54,003,000002,477,538,19,1,505,495,30,431,477,54,30,484,539,493,520,520,495,492,520,525,503
54003000005,54,003,000005,218,157,4,0,219,146,7,186,132,7,23,193,170,205,154,206,157,198,160,220,141
54003000006,54,003,000006,124,158,4,0,137,143,13,115,129,16,15,121,163,116,164,128,158,114,166,139,152
54003000007,54,003,000007,230,333,15,2,257,291,19,207,291,26,22,217,356,234,329,250,316,225,333,255,312
54003000008,54,003,000008,210,184,11,0,238,157,11,198,159,16,12,206,200,215,175,223,179,215,180,233,169
54003000009,54,003,000009,369,392,11,3,409,336,19,351,320,40,30,345,417,378,366,369,385,361,380,415,346
54003000010,54,003,000010,447,384,4,0,503,310,15,416,317,24,36,430,392,462,338,436,378,437,368,488,329
54003000012,54,003,000012,460,244,10,0,480,215,18,414,222,23,26,453,258,456,238,467,229,444,245,489,223
54003000013,54,003,000013,567,323,18,7,592,287,32,487,294,38,30,539,367,565,321,579,308,564,325,588,317
54003000014,54,003,000014,214,220,8,0,218,200,11,190,189,21,29,188,241,197,221,215,213,191,228,230,194
54003000015,54,003,000015,151,183,2,0,164,146,15,142,142,9,17,144,186,149,172,158,164,142,184,169,158
54003000016,54,003,000016,553,451,22,5,579,409,38,493,403,46,40,514,503,550,450,568,442,538,461,589,422
54003000017,54,003,000017,456,384,6,2,483,318,20,408,322,26,45,410,408,435,375,455,367,410,387,489,332
54003000018,54,003,000018,470,378,12,5,504,306,28,437,308,32,42,447,382,474,344,473,350,452,365,493,334
54003000019,54,003,000019,498,157,7,2,503,137,19,445,139,24,24,483,169,491,158,495,156,472,173,517,139
54003000020,54,003,000020,558,131,6,0,547,119,7,505,115,14,14,507,155,514,142,531,131,510,147,545,126
54003000021,54,003,000021,937,434,9,3,949,397,28,829,400,50,41,887,469,908,431,928,426,884,458,959,406
54003000022,54,003,000022,231,129,3,0,250,105,4,206,116,12,3,219,136,230,118,206,144,226,121,236,120
54003000023,54,003,000023,721,410,21,4,730,371,41,649,386,42,32,709,419,706,405,724,401,692,418,748,391
54003000024,54,003,000024,355,186,0,0,369,155,12,303,154,12,34,336,203,345,178,367,163,345,182,390,151
54003000025,54,003,000025,86,40,1,0,89,35,2,78,35,1,4,82,42,86,36,78,43,83,38,85,38
54003000026,54,003,000026,464,174,6,0,458,151,25,395,154,20,35,427,201,448,176,445,179,422,199,479,154
54003000027,54,003,000027,468,257,10,0,481,239,14,391,238,19,37,431,293,457,255,462,257,449,263,491,239
54003000028,54,003,000028,725,376,16,0,726,347,20,631,361,25,29,667,416,696,381,686,390,681,390,745,346
54003000029,54,003,000029,749,413,19,1,780,371,27,653,360,39,45,692,471,738,409,755,403,715,433,797,369
54003000030,54,003,000030,539,171,4,0,536,147,19,491,144,22,20,508,183,513,170,522,165,500,181,546,148
54003000032,54,003,000032,125,110,5,1,132,102,8,114,94,10,12,122,119,125,110,126,111,129,108,141,100
54003000034,54,003,000034,760,290,10,0,773,252,15,611,275,26,40,688,343,724,282,715,308,710,291,769,259
54003000035,54,003,000035,748,292,19,0,752,262,28,626,258,35,39,691,337,714,293,741,279,691,316,758,267
54003000036,54,003,000036,781,382,14,2,767,377,24,661,364,27,43,748,401,748,387,770,373,729,413,790,365
54003000038,54,003,000038,255,127,2,0,274,100,6,231,113,6,13,236,142,252,118,243,131,241,127,264,113
54003000039,54,003,000039,685,371,25,3,733,322,22,640,324,38,29,669,396,704,349,713,355,692,360,721,344
54003000040,54,003,000040,315,131,9,0,328,119,8,277,118,14,15,303,146,317,125,318,131,308,134,342,110
54003000041,54,003,000041,827,233,14,1,820,212,32,641,217,25,48,777,277,802,233,781,261,792,242,841,217
54003000042,54,003,000042,528,115,16,1,522,114,25,454,111,18,28,496,148,513,126,498,143,507,129,529,118
54003000043,54,003,000043,598,227,10,2,606,198,25,490,209,19,37,569,248,581,224,589,222,551,248,618,200
54003000044,54,003,000044,426,142,3,2,424,121,19,342,124,15,27,400,155,401,143,403,146,398,150,427,126
54003000045,54,003,000045,464,111,13,1,452,104,16,346,113,21,25,428,144,441,118,447,118,447,113,467,104
54003000046,54,003,000046,433,115,3,0,434,109,9,375,111,7,19,414,129,417,124,417,126,405,135,433,118
54003000047,54,003,000047,711,105,10,0,694,87,27,509,96,30,30,653,144,668,111,664,126,656,125,702,96
54003000048,54,003,000048,841,474,16,3,870,435,26,798,403,41,33,810,499,834,461,865,440,833,462,893,419
54003000049,54,003,000049,261,111,1,1,261,104,12,238,96,9,14,252,123,264,105,264,105,255,113,267,105
54003000050,54,003,000050,919,359,18,0,928,323,40,785,347,45,39,876,383,897,352,905,351,873,371,938,338
54003000051,54,003,000051,590,269,8,0,609,231,11,552,216,29,26,564,279,572,258,581,253,565,269,598,243
54003000052,54,003,000052,884,311,15,1,885,285,31,745,307,40,46,826,360,851,328,868,320,845,336,879,315
54003000053,54,003,000053,450,336,18,4,472,299,25,377,301,40,39,419,367,452,332,469,320,439,343,489,304
54003000054,54,003,000054,535,226,16,0,560,190,19,467,190,29,44,512,246,543,208,569,192,518,223,557,204
54003000055,54,003,000055,747,357,27,3,778,319,29,653,327,45,49,738,379,749,355,771,341,730,369,782,335
54003000056,54,003,000056,149,117,4,0,162,96,9,135,96,12,10,143,123,154,108,159,106,145,117,160,104
54003000105,54,003,000105,681,264,13,7,685,241,22,568,230,21,54,641,293,656,265,671,265,632,293,699,240
54003000106,54,003,000106,319,182,5,0,337,156,14,296,162,10,18,319,177,322,170,326,172,307,180,338,162
54003000107,54,003,000107,618,532,16,3,641,482,34,561,457,56,48,600,542,609,522,652,490,609,520,655,482
54003000108,54,003,000108,146,70,4,0,149,59,8,123,53,17,8,132,86,138,79,143,72,141,72,153,63
54003000110,54,003,000110,586,451,21,3,624,390,32,542,386,44,36,568,469,588,434,626,404,577,443,626,413
54003000111,54,003,000111,957,422,23,4,993,368,43,803,380,43,43,904,476,956,410,940,441,932,435,1001,393
54003000112,54,003,000112,643,390,18,7,677,341,28,556,356,36,41,615,422,643,380,655,379,605,418,692,352
54003000113,54,003,000113,524,258,14,0,534,220,22,439,209,19,22,501,273,521,244,546,229,512,249,558,221
54003000114,54,003,000114,482,216,16,2,476,204,25,383,195,26,32,447,242,465,212,480,205,447,227,488,204
54003000115,54,003,000115,427,171,7,0,424,158,16,359,160,16,24,404,192,412,181,436,161,405,183,438,160
5400300011A,54,003,00011A,342,264,5,0,369,225,12,303,240,20,9,339,265,361,229,338,256,331,257,366,237
