GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCAS,G16PREIFUE,G16PREGSTE,G16PREOWRI,G16HALRCHE,G16HALDGRE,G16HALLSTR,G16HALCCUM,G16HALOWRI
56001000103,56,001,000103,178,93,9,0,0,6,3,163,105,15,4,0
56001000104,56,001,000104,123,12,1,1,2,0,3,113,18,5,4,1
56001000111,56,001,000111,21.7,7.8,1.4,0.1,0.2,0.6,1,20,10.1,1.4,0.7,0.3
56001000112,56,001,000112,65.6,23.6,4.4,0.3,0.5,1.7,3,60.5,30.5,4.4,2.2,0.8
56001000113,56,001,000113,114.8,41.3,7.7,0.6,0.9,3,5.3,106,53.4,7.7,3.8,1.5
56001000114,56,001,000114,15.4,5.5,1,0.1,0.1,0.4,0.7,14.2,7.2,1,0.5,0.2
56001000115,56,001,000115,209.8,99.4,19.7,1.6,1.7,6.1,11.8,198.1,122.1,16.2,7.6,2.6
56001000121,56,001,000121,1270.5,610.9,130.2,15.9,5.4,30.9,57.6,1220.6,703.9,119.8,59.1,5.9
56001000122,56,001,000122,289.4,88.5,25.3,7,0,3.1,5.1,276.2,105.7,15.3,15.2,2
56001000301,56,001,000301,59.1,74.7,15.8,1.7,0.6,4.4,8,58.1,87,11.6,4.2,0.5
56001000312,56,001,000312,698.7,680,170,16.9,7.5,41.3,95.8,692,808.7,124.9,48.9,6.6
56001000313,56,001,000313,430.1,746.1,134.7,9.8,2.8,37.4,44.4,427.4,827.5,96.3,35.4,9
56001000314,56,001,000314,109.3,175.2,30.4,2.3,0.4,7.4,11.5,107.8,192.5,22.2,8.2,2.3
56001000402,56,001,000402,445.3,430,91.2,8,4.6,18.7,41.1,465.2,477.2,50.3,19,4.9
56001000501,56,001,000501,297.8,525.5,89.9,9.2,2.1,27.9,37,290.8,592.1,66.2,22,3.6
56001000511,56,001,000511,51.4,95,16.2,1.8,0.5,5.5,6.9,49.9,108.2,11.9,3.8,0.4
56001000512,56,001,000512,73.6,147.7,27,2.5,0.9,9.5,8.9,72.9,168.3,19.1,6.4,0.8
56001000514,56,001,000514,27.1,13.6,3.6,0.3,0.2,0.7,1.6,25.3,16.8,2.9,1.4,0.1
56001000515,56,001,000515,877.1,456.9,130.4,11.4,6.1,23.6,56,806.2,577.7,97.2,46.4,4.4
56001000516,56,001,000516,86.3,159.5,27.1,3.1,0.8,9.2,11.6,83.8,181.7,20,6.3,0.6
56001000601,56,001,000601,414.2,477.3,80.1,6.4,6,19.8,50.7,426.3,539.4,49.8,21.2,4
56001000602,56,001,000602,530.8,709.9,131.8,12,6.1,34.3,50.4,529.7,802.6,84.5,32.4,4.3
56001000614,56,001,000614,240.8,277.8,44.2,3.6,3.6,11.5,32.6,249.2,314.4,28.3,11.9,2.4
560010041-1,56,001,0041-1,684.6,661,140.1,12.3,7.1,28.8,63.2,715.3,733.7,77.4,29.2,7.6
560010041-2,56,001,0041-2,124.2,119.9,25.4,2.2,1.3,5.2,11.5,129.8,133.1,14,5.3,1.4
560010041-4,56,001,0041-4,0,0,0,0,0,0,0,0,0,0,0,0
56001004131,56,001,004131,163.6,157.9,33.5,2.9,1.7,6.9,15.1,170.9,175.3,18.5,7,1.8
