GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRBAR,G18USSDTRA,G18USSLPOR,G18USSOWRI,G18HALRCHE,G18HALDHUN,G18HALLBRU,G18HALCCUM,G18HALOWRI,G18GOVRGOR,G18GOVDTHR,G18GOVLSTR,G18GOVCRAM,G18GOVOWRI,G18SOSRBUC,G18SOSDBYR,G18SOSLCAR,G18SOSOWRI,G18AUDRRAC,G18AUDDDOC,G18AUDOWRI,G18TRERMEI,G18TREDLOW,G18TREOWRI,G18SPIRBAL,G18SPIOWRI
56001000103,56,001,000103,155,98,12,2,143,102,13,8,0,161,89,10,4,2,152,88,19,1,165,89,1,177,84,0,194,10
56001000104,56,001,000104,94,19,5,0,89,20,3,2,0,95,19,2,1,1,94,19,3,0,88,25,0,97,20,0,104,3
56001000111,56,001,000111,20.6,9.6,0.6,0.1,19.4,9.8,0.8,0.7,0,20,9,0.4,1.1,0.3,21.3,8.3,0.6,0,21.8,8.1,0,22.1,8.3,0,25,0.7
56001000112,56,001,000112,62.4,29,1.9,0.2,58.8,29.5,2.4,2,0,60.5,27.3,1.4,3.4,1,64.6,25.3,1.9,0,65.9,24.4,0,66.9,25.1,0,75.7,2.2
56001000113,56,001,000113,109.2,50.8,3.2,0.3,103,51.6,4.1,3.5,0,106,47.8,2.4,5.9,1.8,113,44.3,3.2,0,115.4,42.8,0,117.2,44,0,132.5,3.8
56001000114,56,001,000114,14.6,6.8,0.4,0,13.8,6.9,0.6,0.5,0,14.2,6.4,0.3,0.8,0.2,15.1,5.9,0.4,0,15.4,5.7,0,15.7,5.9,0,17.7,0.5
56001000115,56,001,000115,196.7,118.4,6.8,0.5,185.1,118.8,9.4,6.5,0.2,192.9,111.5,5.5,10,3,203.9,102.7,8.6,0,210.6,99.6,0.1,213,103,0.1,254.7,9.3
56001000121,56,001,000121,1113.4,672.5,50.4,4.1,1038.3,676,73.5,40.3,4.9,1092.3,645.1,42.7,54.1,10.6,1148.8,586.1,69.5,4.1,1205.7,570.8,2.1,1200.2,598.8,3.4,1432.9,51.9
56001000122,56,001,000122,246,94.6,10.1,0,238.8,95.6,8.2,5.1,1,243.9,90.6,5.1,10.1,1,239.1,84.4,18.2,0,257.2,83.4,0,255.2,85.4,0,278.7,4.1
56001000301,56,001,000301,46.3,82.2,5.2,0.4,42,80.3,6.7,3.6,0.5,48.4,77,4.1,3.8,0.7,49.6,72.1,8,0.1,56.8,70.4,0.2,55.6,73.2,0.2,90.2,5.5
56001000312,56,001,000312,552.2,771.2,52.6,3.8,508.9,740.2,75.1,42.3,3.8,570.9,721.4,40.4,36.7,9.4,588.8,666.9,85.4,0.9,647.1,670.6,2.8,652.7,684.7,2.8,981.4,52.6
56001000313,56,001,000313,323,795,39,3.4,289.8,785.6,49.3,20.8,6.5,354.2,738.9,37,23.8,3.9,350.3,707.8,57,1.2,441.3,650.7,1.2,409.5,696.5,1.2,733,59.2
56001000314,56,001,000314,79.7,182.4,9.6,0.6,71.7,180.7,11.1,5.1,1.6,85.2,171.3,9.2,5.1,1,84.2,164.7,13.1,0.4,106.4,149.5,0.4,97.4,162.3,0.4,172.1,13.2
56001000402,56,001,000402,399,484.9,20.9,0.6,372,477.2,34.4,12.3,2.1,410.6,457,21.5,12,4.3,414.9,416.4,39.9,0.3,450.5,403.2,1.2,446.8,424.4,0.6,661,42.7
56001000501,56,001,000501,225.8,555.7,31.3,2.3,199.4,553.4,34.5,17.3,4.6,241.4,521.5,27.1,21.5,2.7,242.2,497.9,43.7,1.1,302.1,464.1,0.7,278.4,496.7,0.7,508.2,37.2
56001000511,56,001,000511,39.8,101.2,5.9,0.5,34.8,101,6.3,3.3,0.8,42.5,94.9,4.9,4.4,0.5,43,90.3,8.3,0.2,53.2,85.2,0.1,49.2,90.6,0.1,91.2,6.5
56001000512,56,001,000512,58.7,161.6,8.2,0.9,51.7,160.2,10.3,4.6,1.3,65.7,149.3,7,6.5,0.7,65.8,141.8,12.6,0.2,81.8,134.4,0.1,77,140.9,0.1,143.2,11.4
56001000514,56,001,000514,22.7,15.8,1.3,0.2,20.8,15.9,1.8,1.2,0.1,22.4,15.2,1,1.1,0.3,23.4,13.9,1.8,0.1,24.6,13.9,0,24.5,14.4,0.1,31,1.3
56001000515,56,001,000515,719.5,541.8,46.4,7,649.5,548,63,43.8,5.2,709,521.7,34.1,35.9,9.6,741.4,480.6,61.3,1.8,779.9,480.6,0.9,776.4,498.9,3.5,1013.6,43.8
56001000516,56,001,000516,66.7,169.8,9.9,0.8,58.4,169.5,10.6,5.6,1.4,71.3,159.3,8.2,7.4,0.8,72.1,151.6,13.9,0.3,89.4,143,0.1,82.6,152.1,0.1,153.2,10.9
56001000601,56,001,000601,338.8,510.1,22.4,2.3,309,506.9,34.5,13.1,2.9,351.9,482.1,19.7,14.5,4.3,367,448,35.6,0.2,408.6,428.5,0,394.8,452,0.5,602.4,42.9
56001000602,56,001,000602,410.1,748,41.1,2.2,377,739.6,52.9,18.3,5.7,430,700.5,37.9,28.8,3.9,449.1,650.8,62.6,1.4,518.6,620.9,0.3,507.8,650.9,0.3,796,53.2
56001000614,56,001,000614,200.6,298.9,12.3,1.6,181.5,298.1,19.5,8.4,1.6,208.2,283.4,10.3,8,2.8,216.1,264.7,19.5,0,240,252.7,0,229.2,267.9,0.4,354.6,25.9
560010041-1,56,001,0041-1,613.4,745.5,32.1,0.9,571.8,733.7,52.8,18.9,3.3,631.3,702.5,33,18.4,6.6,637.9,640.2,61.3,0.5,692.6,620,1.9,687,652.5,0.9,1016.3,65.6
560010041-2,56,001,0041-2,111.3,135.2,5.8,0.2,103.7,133.1,9.6,3.4,0.6,114.5,127.4,6,3.3,1.2,115.7,116.2,11.1,0.1,125.7,112.5,0.3,124.6,118.4,0.2,184.4,11.9
560010041-4,56,001,0041-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56001004131,56,001,004131,146.6,178.1,7.7,0.2,136.6,175.3,12.6,4.5,0.8,150.8,167.9,7.9,4.4,1.6,152.4,153,14.7,0.1,165.5,148.1,0.4,164.1,155.9,0.2,242.8,15.7
56003000101,56,003,000101,544,110,24,1,500,110,30,36,0,513,100,15,44,6,537,98,30,0,568,81,2,564,92,1,610,5
56003000201,56,003,000201,223,9,2,0,212,14,2,4,0,212,8,1,12,0,209,8,7,0,214,7,0,211,10,0,212,0
56003000301,56,003,000301,73,2,2,1,60,7,4,5,1,56,7,0,10,4,65,4,7,1,69,5,1,69,4,1,66,2
