GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREIPIE,G20PREOWRI,G20USSRLUM,G20USSDDAV,G20USSOWRI,G20HALRCHE,G20HALDBUL,G20HALLBRU,G20HALCHAG,G20HALOWRI
56001000103,56,001,000103,178,120,11,1,3,190,120,1,185,116,6,5,0
56001000104,56,001,000104,130,20,0,0,1,129,20,0,122,19,0,6,0
56001000111,56,001,000111,26.34,11.19,0.28,0.28,0.11,27.07,10.41,0.28,25.79,10.53,0.84,0.28,0.06
56001000112,56,001,000112,79.72,33.88,0.84,0.84,0.34,81.91,31.52,0.84,78.04,31.86,2.53,0.84,0.17
56001000113,56,001,000113,139.6,59.32,1.48,1.48,0.59,143.44,55.19,1.48,136.65,55.78,4.43,1.48,0.3
56001000114,56,001,000114,18.68,7.94,0.2,0.2,0.08,19.2,7.39,0.2,18.29,7.47,0.59,0.2,0.04
56001000115,56,001,000115,248.45,141.77,5.92,3.1,2,259.24,133.82,2.71,246.99,130.65,10.82,4.03,0.68
56001000121,56,001,000121,1583.73,810.33,54.49,25.22,18.76,1636.89,819.31,4.03,1568.43,743.26,82.98,59.89,1.21
56001000122,56,001,000122,347.16,112.87,6.13,2.06,3.05,356.28,111.89,0.01,352.12,99.71,10.2,6.15,0
56001000301,56,001,000301,66.59,97.15,7.58,1.64,1.67,73.09,97.43,0.71,65.59,92.93,7.86,3.24,0.42
56001000312,56,001,000312,782.49,922.38,90.12,19.73,15.96,858.56,922.33,9.4,777.76,874.47,86.4,33.81,3.76
56001000313,56,001,000313,460.12,893.79,51.91,18.08,16.78,503.73,906.38,8.39,457,848.53,62.01,40.34,2.63
56001000314,56,001,000314,115.37,205.4,11.69,3.51,4.29,125.89,206.96,2.14,114.39,195.07,12.47,9.74,0.58
56001000402,56,001,000402,460.95,610.1,39.28,9.82,13.2,520.18,585.85,5.83,500.54,537.36,46.65,20.56,2.76
56001000501,56,001,000501,331.47,641.56,35.75,8.51,11.69,363.33,645.82,3.74,323.2,616.9,41.38,22.36,2.65
56001000511,56,001,000511,58.75,118.06,6.52,1.38,2.02,64.54,118.79,0.46,56.83,114.11,7.8,3.49,0.55
56001000512,56,001,000512,83.82,185.43,10.69,3.46,2.86,92.38,188.52,0.91,82,177.88,14.3,6.16,0.76
56001000514,56,001,000514,31.95,18.79,1.5,0.57,0.34,33.05,19.02,0.18,30.59,17.56,2.21,1.57,0.01
56001000515,56,001,000515,1010.12,651.24,54.27,19.26,10.5,1046.88,659.12,7,953.22,612.72,78.78,55.15,0
56001000516,56,001,000516,98.62,198.17,10.94,2.31,3.39,108.33,199.4,0.77,95.39,191.54,13.1,5.86,0.92
56001000601,56,001,000601,469.23,636.57,34.96,12.98,10.65,514.42,636.53,1.86,485.81,587.78,47.27,19.79,1.23
56001000602,56,001,000602,571.89,886.41,53.99,13.04,15.72,631.45,884.82,4.56,569.01,837.77,69.91,29.98,2.47
56001000614,56,001,000614,279.39,377.4,19.68,8.1,6.17,305.24,378.17,0.77,291.35,347.69,26.63,11.19,0.77
560010041-1,56,001,0041-1,708.67,937.97,60.39,15.1,20.29,799.73,900.7,8.96,769.53,826.15,71.72,31.61,4.25
560010041-2,56,001,0041-2,128.56,170.16,10.96,2.74,3.68,145.08,163.4,1.63,139.61,149.88,13.01,5.73,0.77
560010041-4,56,001,0041-4,0,0,0,0,0,0,0,0,0,0,0,0,0
56001004131,56,001,004131,169.33,224.12,14.43,3.61,4.85,191.09,215.21,2.14,183.87,197.4,17.14,7.55,1.01
56003000101,56,003,000101,709,132,11,4,7,711,133,2,649,114,35,37,2
56003000201,56,003,000201,292,17,2,2,6,294,16,0,287,14,6,7,0
56003000301,56,003,000301,100,7,0,0,2,100,6,1,95,8,1,1,0
56003000501,56,003,000501,58,3,0,0,0,56,3,0,55,2,0,1,0
56003000601,56,003,000601,91,13,0,2,1,94,11,0,94,11,0,2,0
56003000801,56,003,000801,170,14,1,0,0,174,11,0,163,12,3,6,0
56003001101,56,003,001101,867.84,255.96,20.08,7.06,5.07,877.99,249.87,1.04,830.57,244.83,32.18,25.26,0.02
56003001601,56,003,001601,219,56,4,3,1,228,50,1,214,48,3,12,0
56003002001,56,003,002001,1342.02,187.65,15.1,10.98,12.93,1371.98,171.77,6.97,1290.24,163.71,34.98,50.82,4.01
56003002201,56,003,002201,493,36,6,11,1,508,33,0,477,31,11,18,0
56003002301,56,003,002301,274.19,32.78,8.94,4.97,0.99,281.14,34.77,0,251.34,38.74,11.92,12.91,0
56003002501,56,003,002501,88,20,2,1,1,86,24,0,85,21,2,3,0
56003002601,56,003,002601,103,14,4,0,0,106,13,0,97,16,3,4,0
56005001-01,56,005,001-01,357,59,15,4,2,362,63,4,323,51,24,26,1
56005001-03,56,005,001-03,312,93,10,8,1,327,80,2,298,73,14,20,2
56005001-05,56,005,001-05,684,93,25,1,1,679,91,2,614,88,29,40,2
